generation,val_ic,val_spread
0,0.022687663300614364,0.08946426147058824
1,0.04933267424616906,0.16658676470588238
2,0.02907704258173858,0.10075269764705883
3,0.030978038274133184,0.13467799558823532
4,0.03120966033472213,0.08030287794117645
5,0.01689711178589083,0.032135567647058834
6,0.08218628627921755,0.20457780882352938
7,0.09462608572840901,0.1944775132352941
8,0.09427865263752559,0.3187962879411764
9,0.09419956217781232,0.26430222852941165
10,0.08309017724736957,0.24973542382352948
11,0.05246522138267071,0.15014417382352943
12,0.05821057834898664,0.1205476547058824
13,0.055832215239036795,0.1264523138235294
14,0.04521714568180214,0.08711077500000002
15,0.04127109667396371,0.04821293500000001
16,0.047055998870136284,0.12399026294117649
17,0.08717745921898169,0.1928250014705883
18,0.09509497916813783,0.19061752352941175
19,0.07184520867170396,0.1178411420588236
20,0.09532660122872678,0.3293545085294119
21,0.05733493397358944,0.20465349499999988
22,0.07243273780100275,0.2164104594117647
23,0.07438175270108044,0.22388098000000003
24,0.06498411129157546,0.2019987894117647
25,0.08044347150624953,0.3012783655882353
26,0.10031494950921542,0.2992291105882353
27,0.12179648329920205,0.42710533970588227
28,0.11566132335287056,0.4115592629411764
29,0.08853894498976063,0.31837439852941174
30,0.06195325188899087,0.15550699235294121
31,0.030161711743520944,0.04509168823529412
32,0.004019490149000767,0.055235907352941246
33,0.005123931925711459,0.053570867647058824
34,0.030709695642963063,0.06866457852941174
35,-0.003135371795777132,-0.04305345970588235
36,0.050374973518819297,0.13996985676470586
37,0.06076407033401596,0.15622934823529414
38,0.08478214815337899,0.2692679555882353
39,0.1373151613586611,0.41052069470588226
40,0.12628486688793164,0.3905212673529411
41,0.1392076830732293,0.39986533999999985
42,0.1045858343337335,0.3700920614705883
43,0.07607089894781442,0.27168270558823515
44,0.05771343831650307,0.20126090117647055
45,0.023636748817173918,0.13590577588235295
46,0.0012061295106277814,0.04520549735294116
47,0.018764211566979744,0.05941693441176471
48,0.01765694513099357,0.0847179217647059
49,0.026193065461478707,0.09374807264705884
50,0.03822046465645081,0.10650818382352943
51,0.02032342348704187,0.04836006441176471
52,0.03054021608643458,0.1308701073529412
53,0.016933832356472004,0.0594223873529412
54,0.024667749452722265,0.08899679852941172
55,0.03710754890191371,0.08183726941176471
56,0.010465362615634494,0.04050231294117647
57,0.014530047313042863,0.15489469264705885
58,-0.011677141444813218,0.06966398705882351
59,-0.06160864345738295,-0.13819356441176472
60,0.08503071816962078,0.10473108676470588
61,0.11258526940187838,0.33270422764705876
62,0.09800155356260148,0.2803225020588235
63,0.10047030576936654,0.28051486029411765
64,0.052349410352376224,0.13919691794117653
65,0.07934185438881436,0.19804720499999995
66,0.04436409858060872,0.2099110308823529
67,0.0525019419532519,0.16594222911764706
68,0.07340442059176612,0.20043338
69,0.06278652637525597,0.1417512711764706
70,0.0306390791610762,0.06236328352941176
71,-0.010445590000706162,0.03769637235294118
72,0.03219546642186286,0.10110336205882356
73,0.028842595861874164,0.07268099205882357
74,-0.012273144551938425,0.013811562941176485
75,0.05286914765906362,0.15598703852941176
76,0.014524397994491916,0.08907013911764704
77,0.037974719299484504,0.1086151117647059
78,-0.06758562248428783,-0.2464185532352941
79,0.039211920062142504,0.10635955882352942
80,0.06259727420379918,0.1947877488235294
81,0.023535061083256825,0.06254282294117648
82,0.04088411835322364,0.1107572517647059
83,0.03920344608431608,0.08321073558823532
84,0.07307676011581103,0.21244482323529404
85,0.052660122872678496,0.13028027352941174
86,0.00416354777204999,0.0457093682352941
87,0.027176046889343972,0.08287851205882353
88,0.03161076195183957,0.10946468882352939
89,0.046033472212414384,0.1190270711764706
90,0.05356401384083045,0.17231023941176468
91,0.04997669656097732,0.14532576029411765
92,0.052787232540074856,0.13223695970588234
93,0.06347291857919636,0.13105410529411765
94,0.04369182967304568,0.08734418705882349
95,0.037412612103665,0.03038918382352939
96,0.0437935174069628,0.12517310088235292
97,0.0435223501165172,0.12279347764705884
98,0.03607372360708988,0.1629335411764707
99,0.054072452510415925,0.12089194588235293
100,0.08223995480545158,0.28601983676470594
101,0.06881152460984394,0.20637556617647054
102,0.05801002754042795,0.15860622676470587
103,0.09985170538803756,0.2755705488235294
104,0.06818445025068852,0.1812966014705882
105,0.060583292140385554,0.12929941147058827
106,0.07236777063766683,0.2250411144117647
107,0.059128592613515975,0.1027047632352941
108,0.062323282254078106,0.1634476729411765
109,0.055414165666266516,0.14221876294117652
110,0.05095685332956711,0.15978591882352935
111,0.048101122802061996,0.1685963782352941
112,0.06435703693242004,0.24425794205882354
113,0.07953958053809758,0.24510584088235288
114,0.07674881717392838,0.23286437382352942
115,0.09772756161288043,0.32945305882352943
116,0.07846056069486618,0.19875070941176468
117,0.0578348986653485,0.19059001705882359
118,0.080618600381329,0.25466149882352945
119,0.08116940894004662,0.24907942529411767
120,0.041375609067156274,0.09197805999999997
121,0.01479556528493751,0.030465569117647064
122,-0.002494174140244329,-0.03278640617647057
123,0.014408586964197447,0.06381651735294122
124,0.007123790692747687,0.10085766294117647
125,0.022814772968010738,0.13545631117647058
126,0.020111574041381263,0.017377677352941195
127,0.01304992585269402,0.04704487676470588
128,-0.01045123931925712,-0.008206782941176487
129,0.02417625873878963,0.1405237391176471
130,0.048620860108749386,0.2014651238235294
131,0.04208459854530049,0.16917154823529407
132,0.03955935315302591,0.13542112294117645
133,0.023004025139467556,0.07201990794117646
134,0.0074034319610197016,-0.014688069117647052
135,0.0017880093213756049,0.0105290811764706
136,0.027611044417767103,0.050866538235294106
137,0.04531318409716828,0.15122713676470595
138,0.0012061295106277747,-0.023949690588235293
139,0.010753477861732929,0.08965811411764704
140,0.015823741261210365,0.14033252411764707
141,0.00841183532236424,0.06534740617647057
142,0.015021538026975497,-0.02802834647058823
143,0.08045477014335145,0.18449375941176466
144,0.047041875573758926,0.12138573029411762
145,0.038409716827907635,0.07614096500000003
146,0.003705952969423056,0.02352299911764705
147,-0.011010521855801139,0.0015870758823529323
148,0.0938380057905515,0.3146260870588235
149,0.08763222936233318,0.2264054405882353
150,0.08658428077113199,0.25118532205882355
151,0.08049431537320813,0.18766592352941172
152,0.049858060871407386,0.12508303411764704
153,-0.019114469317138623,-0.1271897817647059
154,0.03685050490784549,0.03985217294117647
155,0.03258809406115387,0.06711950000000003
156,0.012397429560059323,0.00969764205882354
157,0.0163378292493468,0.027084798235294156
158,0.01225054727773462,0.04156293294117645
159,0.015501730103806226,0.033990909411764685
160,0.023026622413671347,0.04416922470588233
161,0.026848386413388884,0.06109665235294116
162,0.025698750088270612,0.07533073088235293
163,0.013058399830520442,0.058220845882352934
164,0.01966245321658075,0.09016459999999997
165,0.011914412823953112,-0.012458528823529432
166,0.03169267707082832,0.06265379676470591
167,0.0043189040322011134,-0.016692734705882315
168,0.07711884753901561,0.2120661364705883
169,0.08977332109314314,0.20484057882352946
170,0.07721488595438177,0.20972160764705888
171,0.04764635265871054,0.14380723676470594
172,0.06379775439587598,0.1760429135294118
173,0.0661704681872749,0.21445742294117653
174,0.05856931007697194,0.201633381764706
175,0.09826989619377163,0.34194440352941186
176,0.062360002824659276,0.2631819205882353
177,0.07154014546995269,0.200213600882353
178,0.06110867876562387,0.17741286205882353
179,0.04201115740413811,0.07380560941176473
180,0.062461690558576394,0.18246672058823526
181,0.06440788079937858,0.18064015441176473
182,0.03983899442129794,0.1232575544117647
183,0.03269543111362191,0.05261180470588235
184,-0.0020620012710966746,-0.02372423117647059
185,-0.018176682437680954,-0.05521391147058822
186,-0.002206058894145892,-0.0338630911764706
187,-0.014145893651578277,-0.060018402352941154
188,-0.0015337899865828725,0.039646778823529405
189,0.009075630252100843,0.00035035794117648693
190,0.005477014335145826,0.005616669411764731
191,0.02269048795988984,0.0941559385294118
192,0.029927265023656523,0.1269026138235294
193,0.006940187839841821,0.05768554882352944
194,0.01193136077960596,0.07020622176470592
195,0.022778052397429555,0.0962857588235294
196,0.030692747687310222,0.09123914529411765
197,0.07192147447214181,0.21181059941176472
198,0.07387331403149494,0.18276605676470592
199,0.08264953040039542,0.17541813
200,0.0799915260221736,0.13799211588235297
201,0.061899583362756874,0.14910681823529415
202,0.04492620577642822,0.1274250614705882
203,0.02177529835463596,0.037896437941176475
204,-0.00833274486265094,0.057677897352941154
205,0.06113692535837864,0.23830301970588236
206,0.06491349480968857,0.227673469117647
207,0.06681449050208317,0.24566015382352943
208,0.0607358237412612,0.20562186205882355
209,0.08552503354282892,0.2094173523529412
210,0.05835463597203587,0.13103135058823526
211,0.053388884965751,0.15074436794117646
212,-0.03152602217357531,-0.08541184176470588
213,0.02260857284090107,0.11132551676470588
214,-0.009973871901701861,-0.015078824411764731
215,-0.010767601158110304,-0.04269517735294119
216,-0.004135301179295244,0.027293364117647052
217,-0.006623826000988629,0.027479119117647072
218,-0.013134665630958265,0.01801098764705885
219,0.0035760186427512145,0.03996329911764706
220,0.054820987218416765,0.19159201911764706
221,0.04055928253654402,0.11280682323529416
222,0.06270178659699176,0.12262500735294118
223,0.06366499540992868,0.1341050144117647
224,0.05860320598827766,0.13461778558823528
225,0.07984746839912435,0.23606207264705883
226,0.09514299837582092,0.2957591905882354
227,0.09445378151260507,0.3001821276470588
228,0.08315514441070544,0.2761007570588236
229,0.03726855448061578,0.17568460147058818
230,0.049123649459783904,0.1708928923529411
231,0.008889202739919494,0.015597844411764695
232,0.046330061436339234,0.2054008838235294
233,0.02948379351740697,0.14479208294117646
234,0.006909116587811594,0.07863605500000001
235,0.027144975637313752,0.11446882764705882
236,0.03141303580255632,0.04483303794117647
237,0.006570157474754619,0.035735928529411785
238,0.017478991596638654,0.06620117
239,0.00731021820492902,0.029202435294117656
240,0.03092154508862369,0.13928269117647057
241,0.013886024998234587,0.14635466352941176
242,0.03565849869359508,0.20722077499999997
243,0.06707153449615141,0.18692183735294113
244,0.08784972812654472,0.2455555561764705
245,0.06461125626721276,0.24385403441176468
246,0.0798079231692677,0.2360459914705883
247,0.07381399618670999,0.14516748117647066
248,0.037358943577430984,-0.002854488235294131
249,0.037130146176117505,0.038089180882352934
250,0.06031777416849093,0.12488208970588237
251,0.008951345243979954,0.029950885000000014
252,0.03544099992938351,0.09444808735294118
253,0.03381117152743451,0.11611512852941176
254,0.02488242355765836,0.12628856970588237
255,0.014764494032907279,0.12378124617647059
256,0.03431678553774451,0.19811560470588235
257,0.04773956641480121,0.24754823058823525
258,0.0467283383941812,0.20113541058823525
259,-0.01227031989266295,-0.0384926832352941
260,-0.02645293411482241,-0.07178705088235292
261,0.00830167361062072,-0.024998271764705895
262,0.04711814137419674,0.11107646647058825
263,0.08416919709060094,0.2016819738235294
264,0.07317562319045266,0.1692534176470588
265,0.0850391921474472,0.2121896752941177
266,0.06482875503142434,0.15831951235294117
267,0.07961867099781089,0.14722250382352936
268,0.06307746628062989,0.12949518647058822
269,0.05862862792175694,0.12303268323529408
270,0.06907139326318763,0.1991891226470588
271,0.050462537956359015,0.13039993000000002
272,0.0019207683073229256,0.04764855470588235
273,0.01587176046889344,0.08782696941176471
274,0.04734411411623472,0.1004270588235294
275,-0.0025732645999576352,0.0011917420588235463
276,0.046290516206482585,0.1388647273529412
277,0.05534637384365511,0.16217194705882354
278,0.05399053739142715,0.12720661911764702
279,0.07913565426170469,0.2604758126470589
280,0.07740696278511407,0.22518973441176465
281,0.07523479980227386,0.19053084088235295
282,0.06481745639432243,0.1908375702941177
283,0.06966457171103735,0.20643525676470595
284,0.04622837370242215,0.11305612000000001
285,0.03684768024857002,0.09305984970588235
286,0.06947249488030506,0.2506772661764707
287,0.03668667466986794,0.12850092088235293
288,0.05004448838358873,0.1559502264705882
289,0.03561895346373844,0.12004359941176478
290,0.030486547560200555,0.1083741105882353
291,0.021715980509851,0.06712990647058822
292,0.04151684203093003,0.1475217844117647
293,0.03709342560553633,0.0866527005882353
294,0.014476378786808838,0.05414314999999999
295,0.015835039898312267,0.06734553911764705
296,0.046352658710543046,0.057139600882352946
297,0.05319398347574324,0.14926694970588236
298,0.04176258738789634,0.0799906152941176
299,0.02475813854953747,0.08627302970588237
