baseline,n_days,hyperparameters,fit_seconds,total_seconds,wall_seconds,pearson_ic,pearson_t,rank_ic_1,rank_ic_5,rank_ic_10,net_pct,sharpe,mdd_pct,turnover,cost_pct
(naive reference),1258,,,,,-0.01718994372239196,-2.277815982728982,-0.017510753584395217,-0.01650806284596476,-0.015706632375583097,-96.03958266076611,-0.8088089571286916,98.93417213374275,1.1663932316163352,52.3165129127801
naive,1258,"{""kind"": ""naive""}",0.0,0.0,3.6,-0.01718994372239196,-2.277815982728982,-0.017510753584395217,-0.01650806284596476,-0.015706632375583097,-96.03958266076611,-0.8088089571286916,98.93417213374275,1.1663932316163352,52.3165129127801
str1,1258,"{""kind"": ""str1""}",0.0,0.0,3.0,0.01718994372239196,2.277815982728982,0.017510753584395217,0.01650806284596476,0.015706632375583097,-8.531263763958767,-0.07199190146576004,43.069045610446786,1.166393482172774,52.31737351194478
str5,1258,"{""kind"": ""str5""}",0.02,0.02,2.9,0.016215234817231448,2.176894365464392,0.014420407167116782,0.02108418487012031,0.012210988478658069,14.98753838232335,0.1141542723182374,62.74956996058884,0.5934989124700045,27.057324815701307
ridge,1258,"{""cs_demean"": false, ""cs_demean_y"": true, ""delta"": 0.001, ""lags"": 1, ""lam"": 1.0}",0.19,65.52,68.4,0.019325605449981527,2.733137369777744,0.01264738367573195,0.018847424137118977,0.024190646634954988,0.8127927553331313,0.007006282983367792,46.04994940967481,0.9912741404698342,45.93540874902205
ar,1258,"{""diff"": 0, ""eta"": 0.0001, ""method"": ""ogd"", ""p"": 1}",0.1,15.22,18.2,0.017727001909322457,3.2723499343463573,0.014745457618106911,0.008222772362533536,0.010019251896114726,-9.63698496550677,-0.11367892514719506,50.9950941281429,0.4878042200868658,22.84405198362849
lstm,1258,"{""cs_demean_y"": true, ""hidden"": 8, ""lr"": 0.001, ""replay_days"": 1000, ""seq_len"": 5, ""steps_per_day"": 8}",22.16,405.02,409.4,0.016220431862730096,2.3943337071057598,0.01109593666972377,0.01168758412455891,0.013226350588273752,7.9226835954458315,0.0771532892413658,69.93204333021461,0.37910278454804924,20.459602006214595
gru,1258,"{""cs_demean_y"": false, ""hidden"": 16, ""lr"": 0.003, ""replay_days"": 1000, ""seq_len"": 20, ""steps_per_day"": 1}",10.95,267.8,272.1,0.01031726574559778,1.6424144979396738,0.010494024233944362,0.014920417927936719,0.01296184126172483,36.63111255155086,0.39881381220955187,24.608532423817046,0.43463397696587913,20.617513050431345
periodic_ridge_yearly,1258,"{""cs_demean"": false, ""cs_demean_y"": true, ""delta"": 0.001, ""lags"": 1, ""lookback_days"": 0}",0.11,20.84,24.9,0.01969790937728209,2.6991419258478886,0.014863259231376375,0.01794516849802122,0.019424403868833328,53.12035279497318,0.43934431705041266,52.034554497359395,0.932482022183478,44.65889570513279
periodic_ridge_quarterly,1258,"{""cs_demean"": false, ""cs_demean_y"": true, ""delta"": 0.001, ""lags"": 1, ""lookback_days"": 0}",0.29,0.29,4.1,0.020289695059962004,2.7926597819635846,0.01472935351373026,0.019791189202953936,0.022870945015315978,41.94160707064156,0.3463415330946966,51.423021728775,0.918192847702858,43.63324822066752
periodic_ridge_monthly,1258,"{""cs_demean"": false, ""cs_demean_y"": true, ""delta"": 0.001, ""lags"": 1, ""lookback_days"": 0}",0.83,0.83,4.4,0.02037633084602398,2.8068912873436633,0.014338749270161415,0.01936521977211938,0.023400348129644227,23.791147524976804,0.1974905764494468,50.040480477148066,0.9121236177059651,43.10770265946118
periodic_lstm_quarterly,1258,"{""cs_demean_y"": true, ""hidden"": 8, ""lookback_days"": 0, ""lr"": 0.001, ""max_steps"": 4000, ""seq_len"": 5}",56.95,196.05,200.4,0.015046244594963976,2.2605226395032876,0.017732309660426614,0.01852791257759905,0.01852165171366056,45.43283929982583,0.45403702166995874,25.226273792430725,0.16985860697863178,10.311297420991872
periodic_lstm_yearly,1258,"{""cs_demean_y"": true, ""hidden"": 8, ""lookback_days"": 0, ""lr"": 0.001, ""max_steps"": 4000, ""seq_len"": 5}",15.31,15.31,19.8,0.017963488856867514,2.7049706984592783,0.018067375251742384,0.02291825821237586,0.021085276384372766,41.209919113864856,0.41537365010529975,30.67118346028066,0.10797158179061334,6.5126931539334665
periodic_lstm_monthly,1258,"{""cs_demean_y"": true, ""hidden"": 8, ""lookback_days"": 0, ""lr"": 0.001, ""max_steps"": 4000, ""seq_len"": 5}",171.31,171.31,175.4,0.013390580483024994,2.045081369178527,0.011706393702516096,0.020749275786869737,0.01729748744974372,44.4994727124276,0.4758116557798134,32.54509078357452,0.20060344064665372,11.98513919751426
