#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.193552,0.200163,0.195679
0.139554,0.193552,0.192441
0.0951335,0.139554,0.144108
0.107306,0.0951335,0.103238
0.160937,0.107306,0.111185
0.217341,0.160937,0.157256
0.302479,0.217341,0.210377
0.268471,0.302479,0.291352
0.120244,0.268471,0.261241
0.202768,0.120244,0.12784
0.383745,0.202768,0.202542
0.515431,0.383745,0.369593
0.348072,0.515431,0.487227
0.406047,0.348072,0.340586
0.332077,0.406047,0.395994
0.158765,0.332077,0.325802
0.467988,0.158765,0.164634
0.475618,0.467988,0.447524
0.559399,0.475618,0.452861
0.400624,0.559399,0.52609
0.385753,0.400624,0.390084
0.356472,0.385753,0.37788
0.360841,0.356472,0.348637
0.274073,0.360841,0.352814
