#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.00765442,0.0086485,0.0285819
0.00587004,0.00765442,0.0306101
0.0147223,0.00587004,0.0176338
0.0290222,0.0147223,0.017682
0.00587004,0.0290222,0.0324759
0.00587004,0.00587004,0.0208241
0.0166061,0.00587004,0.00837145
0.00636211,0.0166061,0.0197746
0.00587004,0.00636211,0.000375547
0.00587004,0.00587004,0.0110649
0.00587004,0.00587004,0.00924245
0.00587004,0.00587004,0.00947312
0.00587004,0.00587004,0.008545
0.00587004,0.00587004,0.00846678
0.00587004,0.00587004,0.0114498
0.0186142,0.00587004,0.00780639
0.0140811,0.0186142,0.0190054
0.0292558,0.0140811,0.0186239
0.0127839,0.0292558,0.0406319
0.00587004,0.0127839,0.0204023
0.00587004,0.00587004,0.0139623
0.00587004,0.00587004,0.0102293
0.00587004,0.00587004,0.00975919
0.00587004,0.00587004,0.00665002
