#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.037949,0.0311147,0.0279448
0.0459762,0.037949,0.0365648
0.0638249,0.0459762,0.0420781
0.080769,0.0638249,0.059682
0.0968234,0.080769,0.0765412
0.0921512,0.0968234,0.0908331
0.0847105,0.0921512,0.0881866
0.100884,0.0847105,0.0806457
0.0734178,0.100884,0.0993408
0.0606538,0.0734178,0.0794397
0.0609222,0.0606538,0.0689954
0.04534,0.0609222,0.0661207
0.0255578,0.04534,0.0511703
0.0609371,0.0255578,0.0343905
0.0765591,0.0609371,0.0651151
0.0849143,0.0765591,0.0746944
0.0631489,0.0849143,0.0876668
0.0339478,0.0631489,0.0681016
0.0259902,0.0339478,0.0417972
0.0157611,0.0259902,0.035328
0.0341665,0.0157611,0.0253506
0.0340274,0.0341665,0.040664
0.0286146,0.0340274,0.0402169
0.00587004,0.0286146,0.0345996
