#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.00587004,0.00587004,0.00621976
0.00587004,0.00587004,0.0119479
0.00587004,0.00587004,0.0131052
0.00587004,0.00587004,0.014376
0.00587004,0.00587004,0.015699
0.00587004,0.00587004,0.0138115
0.00587004,0.00587004,0.0139845
0.00587004,0.00587004,0.0160142
0.00587004,0.00587004,0.0168018
0.00587004,0.00587004,0.0126797
0.00587004,0.00587004,0.0136278
0.00587004,0.00587004,0.0155421
0.00587004,0.00587004,0.0136974
0.00587004,0.00587004,0.0147126
0.00587004,0.00587004,0.0126226
0.00587004,0.00587004,0.0131287
0.00587004,0.00587004,0.0146289
0.00587004,0.00587004,0.014557
0.00587004,0.00587004,0.0161646
0.00587004,0.00587004,0.0142798
0.00587004,0.00587004,0.0244056
0.00587004,0.00587004,0.0328404
0.00587004,0.00587004,0.0341145
0.00587004,0.00587004,0.0319972
