#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.0807889,0.135826,0.148724
0.176335,0.0807889,0.0941019
0.188686,0.176335,0.179396
0.161439,0.188686,0.189228
0.118832,0.161439,0.17051
0.0886024,0.118832,0.126488
0.065823,0.0886024,0.0977448
0.0868329,0.065823,0.079214
0.0985183,0.0868329,0.0999355
0.108086,0.0985183,0.11058
0.109647,0.108086,0.118192
0.104841,0.109647,0.118955
0.159187,0.104841,0.113991
0.132645,0.159187,0.167299
0.123872,0.132645,0.13974
0.144281,0.123872,0.132433
0.157045,0.144281,0.151438
0.155335,0.157045,0.161195
0.121521,0.155335,0.159657
0.0846062,0.121521,0.127164
0.0639094,0.0846062,0.0945782
0.034097,0.0639094,0.0763216
0.0405386,0.034097,0.0476135
0.0550571,0.0405386,0.0558931
