#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.232282,0.26441,0.25206
0.287901,0.232282,0.223131
0.289362,0.287901,0.271077
0.266985,0.289362,0.272025
0.340935,0.266985,0.261798
0.385609,0.340935,0.324769
0.394511,0.385609,0.364341
0.430685,0.394511,0.372998
0.408368,0.430685,0.402554
0.317251,0.408368,0.384509
0.296877,0.317251,0.30838
0.286211,0.296877,0.292284
0.279063,0.286211,0.283082
0.303393,0.279063,0.277968
0.323175,0.303393,0.299381
0.328847,0.323175,0.314532
0.233609,0.328847,0.318623
0.188358,0.233609,0.235624
0.245752,0.188358,0.19721
0.156081,0.245752,0.249293
0.0278641,0.156081,0.169196
0.0627662,0.0278641,0.0515905
0.0420943,0.0627662,0.0840004
0.0451909,0.0420943,0.061991
