#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.190356,0.226844,0.212491
0.187588,0.190356,0.177858
0.1579,0.187588,0.171755
0.143068,0.1579,0.147395
0.1259,0.143068,0.140795
0.116203,0.1259,0.123728
0.12847,0.116203,0.115502
0.138759,0.12847,0.128111
0.116218,0.138759,0.135817
0.131323,0.116218,0.115892
0.147094,0.131323,0.130097
0.156766,0.147094,0.143796
0.118788,0.156766,0.153232
0.0876282,0.118788,0.119212
0.0901929,0.0876282,0.0912252
0.0997361,0.0901929,0.0949043
0.103275,0.0997361,0.103814
0.116973,0.103275,0.106567
0.0878817,0.116973,0.119581
0.0821955,0.0878817,0.0920388
0.0785125,0.0821955,0.0885196
0.0820613,0.0785125,0.084795
0.0871361,0.0820613,0.0887732
0.0922407,0.0871361,0.0934687
