#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.0744914,0.0522787,0.0626857
0.122749,0.0744914,0.0952718
0.112137,0.122749,0.136524
0.0487646,0.112137,0.130171
0.0141309,0.0487646,0.0730417
0.0648439,0.0141309,0.0360204
0.0545949,0.0648439,0.0896072
0.0538791,0.0545949,0.0764198
0.102659,0.0538791,0.0761034
0.042318,0.102659,0.117156
0.13015,0.042318,0.0588744
0.0871063,0.13015,0.144782
0.129514,0.0871063,0.102182
0.200297,0.129514,0.141962
0.103374,0.200297,0.206949
0.057766,0.103374,0.116735
0.0168695,0.057766,0.0749697
0.0305481,0.0168695,0.036944
0.173606,0.0305481,0.0521428
0.154783,0.173606,0.186088
0.0632384,0.154783,0.167626
0.040981,0.0632384,0.0857313
0.0622841,0.040981,0.0671021
0.075739,0.0622841,0.0839857
