#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.254887,0.25015,0.242906
0.325671,0.254887,0.250894
0.393541,0.325671,0.322086
0.371021,0.393541,0.39152
0.455368,0.371021,0.370142
0.491568,0.455368,0.451805
0.397791,0.491568,0.486875
0.37775,0.397791,0.397707
0.258501,0.37775,0.3784
0.256319,0.258501,0.25792
0.191758,0.256319,0.255051
0.244086,0.191758,0.189291
0.255016,0.244086,0.241212
0.181609,0.255016,0.251714
0.228519,0.181609,0.177255
0.2427,0.228519,0.223264
0.229802,0.2427,0.236756
0.179238,0.229802,0.223038
0.159997,0.179238,0.172012
0.206987,0.159997,0.154574
0.208841,0.206987,0.202886
0.205029,0.208841,0.20526
0.202633,0.205029,0.202137
0.180102,0.202633,0.200194
