#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.198349,0.204502,0.187768
0.201823,0.198349,0.185542
0.200486,0.201823,0.192703
0.205765,0.200486,0.193449
0.222102,0.205765,0.198351
0.200466,0.222102,0.211856
0.182861,0.200466,0.191397
0.162045,0.182861,0.174917
0.14445,0.162045,0.152856
0.135404,0.14445,0.13988
0.144514,0.135404,0.132136
0.147417,0.144514,0.139358
0.151562,0.147417,0.142479
0.157845,0.151562,0.14708
0.149415,0.157845,0.154859
0.156722,0.149415,0.148097
0.192325,0.156722,0.156154
0.21405,0.192325,0.19023
0.2099,0.21405,0.211267
0.213518,0.2099,0.207762
0.20481,0.213518,0.210956
0.162085,0.20481,0.203309
0.159684,0.162085,0.161167
0.156657,0.159684,0.157169
