#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.179064,0.190958,0.191659
0.120045,0.179064,0.17836
0.0399272,0.120045,0.115777
0.0592174,0.0399272,0.0433434
0.0596498,0.0592174,0.0713168
0.0546446,0.0596498,0.0685943
0.0791039,0.0546446,0.0648075
0.0677814,0.0791039,0.088546
0.06382,0.0677814,0.0736227
0.0556486,0.06382,0.0691102
0.0661411,0.0556486,0.0627819
0.0587402,0.0661411,0.0708219
0.0527757,0.0587402,0.0638058
0.0451114,0.0527757,0.057727
0.0522886,0.0451114,0.0511045
0.0525868,0.0522886,0.0580099
0.163491,0.0525868,0.0580776
0.167696,0.163491,0.164996
0.250116,0.167696,0.165675
0.250995,0.250116,0.243388
0.17039,0.250995,0.243343
0.110427,0.17039,0.167731
0.150176,0.110427,0.116085
0.0893032,0.150176,0.155314
