#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.107912,0.126556,0.123285
0.136482,0.107912,0.117338
0.177493,0.136482,0.135542
0.213767,0.177493,0.173782
0.253292,0.213767,0.207291
0.245846,0.253292,0.237078
0.242461,0.245846,0.236521
0.263615,0.242461,0.230556
0.274108,0.263615,0.251782
0.261538,0.274108,0.261169
0.242431,0.261538,0.250674
0.248068,0.242431,0.234562
0.264376,0.248068,0.239502
0.259301,0.264376,0.254031
0.236497,0.259301,0.247098
0.210074,0.236497,0.224875
0.217067,0.210074,0.199654
0.196137,0.217067,0.206257
0.216421,0.196137,0.186771
0.205879,0.216421,0.205807
0.170992,0.205879,0.195087
0.166195,0.170992,0.162107
0.164262,0.166195,0.158567
0.168188,0.164262,0.157097
