#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.367377,0.35019,0.338704
0.373456,0.367377,0.358346
0.274461,0.373456,0.363119
0.265762,0.274461,0.27564
0.20576,0.265762,0.269669
0.200332,0.20576,0.207676
0.218196,0.200332,0.206784
0.243415,0.218196,0.21894
0.256219,0.243415,0.241861
0.208185,0.256219,0.253926
0.243187,0.208185,0.210562
0.277219,0.243187,0.242877
0.229295,0.277219,0.273602
0.188259,0.229295,0.22943
0.176091,0.188259,0.193561
0.171325,0.176091,0.182508
0.0947408,0.171325,0.177118
0.176926,0.0947408,0.108652
0.235279,0.176926,0.18068
0.211784,0.235279,0.233494
0.240234,0.211784,0.212884
0.197822,0.240234,0.240689
0.18219,0.197822,0.202733
0.189014,0.18219,0.189622
