#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.00579052,0.00570105,0.0086464
0.00509963,0.00579052,0.00869332
0.00338981,0.00509963,0.00879277
0.00358366,0.00338981,0.00910381
0.00335999,0.00358366,0.0104562
0.00365822,0.00335999,0.00904183
0.00354887,0.00365822,0.00819756
0.00362342,0.00354887,-0.00184389
0.00359857,0.00362342,-0.00185626
0.00357372,0.00359857,0.00170609
0.00371289,0.00357372,0.00126345
0.00360851,0.00371289,0.00233687
0.00376756,0.00360851,0.000832233
0.0034097,0.00376756,0.00196063
0.00373774,0.0034097,0.00308989
0.00376259,0.00373774,0.00371039
0.00504993,0.00376259,0.00359785
0.00569608,0.00504993,0.00415913
0.00582531,0.00569608,0.00446512
0.00536306,0.00582531,0.00395064
0.00581537,0.00536306,0.00427798
0.00578555,0.00581537,0.00428669
0.00514934,0.00578555,0.00416652
0.00335502,0.00514934,0.00404447
