#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.0343355,0.043993,0.0405981
0.0332271,0.0343355,0.0336398
0.0314626,0.0332271,0.0345827
0.0648389,0.0314626,0.0341812
0.0702268,0.0648389,0.0680825
0.0528503,0.0702268,0.0713993
0.0489982,0.0528503,0.0568959
0.0436352,0.0489982,0.0426609
0.0446143,0.0436352,0.0355451
0.0574479,0.0446143,0.0391654
0.0576268,0.0574479,0.0526635
0.0493461,0.0576268,0.0545102
0.037278,0.0493461,0.0482602
0.0349519,0.037278,0.0372777
0.0196977,0.0349519,0.0352108
0.0259654,0.0196977,0.0194314
0.0195933,0.0259654,0.0245756
0.0386101,0.0195933,0.0165758
0.0418657,0.0386101,0.0351052
0.044674,0.0418657,0.0377134
0.0494853,0.044674,0.0396357
0.0331625,0.0494853,0.0431566
0.0275161,0.0331625,0.0276901
0.0291216,0.0275161,0.0235529
