#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.422509,0.489927,0.452207
0.184755,0.422509,0.395683
0.0751574,0.184755,0.180531
0.0809181,0.0751574,0.084995
0.0779508,0.0809181,0.0956593
0.0739496,0.0779508,0.0939155
0.0503353,0.0739496,0.0901533
0.0566626,0.0503353,0.0646974
0.0783435,0.0566626,0.069571
0.142695,0.0783435,0.0910207
0.212122,0.142695,0.151353
0.174521,0.212122,0.213142
0.17122,0.174521,0.175438
0.232943,0.17122,0.174974
0.293174,0.232943,0.232113
0.27374,0.293174,0.285366
0.221193,0.27374,0.268114
0.144455,0.221193,0.221929
0.102067,0.144455,0.150489
0.114846,0.102067,0.111989
0.15106,0.114846,0.125895
0.220984,0.15106,0.158823
0.210864,0.220984,0.224003
0.154729,0.210864,0.211888
