#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.0726325,0.0682933,0.0735389
0.0669762,0.0726325,0.0771447
0.0238281,0.0669762,0.0739776
0.0641878,0.0238281,0.0315339
0.0787063,0.0641878,0.0736741
0.0969179,0.0787063,0.0846077
0.114662,0.0969179,0.102195
0.0832443,0.114662,0.11938
0.092862,0.0832443,0.0852437
0.0994528,0.092862,0.0968135
0.105233,0.0994528,0.10375
0.0939008,0.105233,0.109987
0.0611061,0.0939008,0.101121
0.0456034,0.0611061,0.0694376
0.0376806,0.0456034,0.0575799
0.0448927,0.0376806,0.0513254
0.0422882,0.0448927,0.057267
0.020145,0.0422882,0.0524695
0.0224115,0.020145,0.0312698
0.0347133,0.0224115,0.0351789
0.0283711,0.0347133,0.0468284
0.00628756,0.0283711,0.0405128
0.00587004,0.00628756,0.0184867
0.00587004,0.00587004,0.00775212
