generation,phase,mse_on_a,mae_on_a,mse_on_b,mae_on_b,best_validation_mse
1124,mixed_AB,0.00131978,0.0275679,0.00482759,0.0459674,0.00279494
1129,mixed_AB,0.00128963,0.0270617,0.00484088,0.046088,0.00284056
1134,mixed_AB,0.00128963,0.0270617,0.00484088,0.046088,0.0029105
1139,mixed_AB,0.00128963,0.0270617,0.00484088,0.046088,0.00292541
1144,mixed_AB,0.00128963,0.0270617,0.00484088,0.046088,0.00317664
1149,mixed_AB,0.00128466,0.026972,0.00484167,0.0460981,0.00324617
1154,mixed_AB,0.00128466,0.026972,0.00484167,0.0460981,0.0032603
1159,mixed_AB,0.00128466,0.026972,0.00484167,0.0460981,0.00324197
1164,mixed_AB,0.00128466,0.026972,0.00484167,0.0460981,0.00334001
1169,mixed_AB,0.00128466,0.026972,0.00484167,0.0460981,0.00329678
1174,mixed_AB,0.000858391,0.0154685,0.00481132,0.0461686,0.00310142
1179,mixed_AB,0.000858391,0.0154685,0.00481132,0.0461686,0.0030359
1184,mixed_AB,0.00128463,0.0269714,0.00484169,0.0460983,0.0034154
1189,mixed_AB,0.00128463,0.0269714,0.00484169,0.0460983,0.00326438
1194,mixed_AB,0.000837972,0.0150104,0.00480519,0.0460276,0.00322477
1199,mixed_AB,0.000837972,0.0150104,0.00480519,0.0460276,0.0032262
1204,mixed_AB,0.000837972,0.0150104,0.00480519,0.0460276,0.00310563
1209,mixed_AB,0.000800318,0.0140698,0.00487057,0.0468809,0.00288297
1214,mixed_AB,0.000800318,0.0140698,0.00487057,0.0468809,0.00247688
1219,mixed_AB,0.000800318,0.0140698,0.00487057,0.0468809,0.00231915
1224,mixed_AB,0.000794387,0.013671,0.00486357,0.0463172,0.0026907
1229,mixed_AB,0.000794387,0.013671,0.00486357,0.0463172,0.00283649
1234,mixed_AB,0.000794009,0.0136469,0.00487421,0.0463844,0.00274679
1239,mixed_AB,0.000822278,0.0153826,0.0049346,0.0467861,0.00277307
1244,mixed_AB,0.000822278,0.0153826,0.0049346,0.0467861,0.002531
1249,mixed_AB,0.00082221,0.0153807,0.00493459,0.0467858,0.00243769
