#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.00578555,0.0057607,0.0207657
0.00580046,0.00578555,0.0173954
0.00778365,0.00580046,0.0148257
0.00521395,0.00778365,0.0271134
0.00580543,0.00521395,0.0241279
0.00579549,0.00580543,0.0108799
0.00577561,0.00579549,0.0188696
0.00563146,0.00577561,0.0165794
0.0058104,0.00563146,0.0184163
0.00580046,0.0058104,0.016372
0.00578555,0.00580046,0.0190763
0.00577064,0.00578555,0.0159864
0.00581537,0.00577064,0.0144122
0.0058104,0.00581537,0.012919
0.00577064,0.0058104,0.0147262
0.00579052,0.00577064,0.0138885
0.00580046,0.00579052,0.0139998
0.00580543,0.00580046,0.0145972
0.00580046,0.00580543,0.0143183
0.0058104,0.00580046,0.0154703
0.00580543,0.0058104,0.0158231
0.00580543,0.00580543,0.014893
0.00547738,0.00580543,0.015521
0.00580543,0.00547738,0.0169898
