#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.165226,0.129792,0.134473
0.119369,0.165226,0.163891
0.0866689,0.119369,0.127444
0.0968334,0.0866689,0.104126
0.150807,0.0968334,0.108908
0.139604,0.150807,0.146498
0.124802,0.139604,0.139016
0.0926831,0.124802,0.128045
0.113221,0.0926831,0.100333
0.107555,0.113221,0.118839
0.139052,0.107555,0.111614
0.125329,0.139052,0.139655
0.133485,0.125329,0.12841
0.169287,0.133485,0.138009
0.165132,0.169287,0.169032
0.145712,0.165132,0.167672
0.135294,0.145712,0.147694
0.152005,0.135294,0.139179
0.23602,0.152005,0.152235
0.369758,0.23602,0.224238
0.357715,0.369758,0.344914
0.28372,0.357715,0.334526
0.26202,0.28372,0.270443
0.330045,0.26202,0.251526
