#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.00587004,0.00587004,0.000607199
0.00587004,0.00587004,-0.00155267
0.00587004,0.00587004,-0.000630548
0.00587004,0.00587004,0.000150103
0.00587004,0.00587004,-0.000965141
0.00587004,0.00587004,0.00930546
0.00587004,0.00587004,0.010534
0.00587004,0.00587004,0.000501951
0.00587004,0.00587004,-5.74097e-05
0.00587004,0.00587004,0.00372688
0.00587004,0.00587004,0.00313543
0.00587004,0.00587004,0.00284747
0.00587004,0.00587004,0.00234081
0.00587004,0.00587004,0.00187567
0.00587004,0.00587004,-0.0108503
0.0117997,0.00587004,-0.00905646
0.01259,0.0117997,0.00595624
0.00587004,0.01259,0.0181307
0.00587004,0.00587004,0.0132877
0.00587004,0.00587004,0.00487321
0.00587004,0.00587004,0.00266532
0.00587004,0.00587004,0.00262854
0.00587004,0.00587004,0.00259014
0.00587004,0.00587004,0.0032546
