#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.922188,0.86896,0.796913
0.811378,0.922188,0.839383
0.784255,0.811378,0.778962
0.996635,0.784255,0.771853
1.01267,0.996635,0.888605
1.0085,1.01267,0.895931
0.989557,1.0085,0.8987
0.946697,0.989557,0.892003
1.01808,0.946697,0.874709
0.957076,1.01808,0.902575
0.804161,0.957076,0.878998
0.995223,0.804161,0.801598
0.879945,0.995223,0.894374
0.929207,0.879945,0.841946
0.920588,0.929207,0.867396
0.840564,0.920588,0.862731
0.768593,0.840564,0.82256
0.749497,0.768593,0.779029
0.787128,0.749497,0.765753
0.843482,0.787128,0.789331
0.789578,0.843482,0.822272
0.913177,0.789578,0.790967
0.883668,0.913177,0.858875
0.907769,0.883668,0.843889
