#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.358977,0.368043,0.363687
0.434945,0.358977,0.354353
0.376801,0.434945,0.425797
0.365394,0.376801,0.373643
0.369276,0.365394,0.370599
0.390077,0.369276,0.371258
0.433643,0.390077,0.395529
0.487601,0.433643,0.43394
0.467869,0.487601,0.484798
0.377308,0.467869,0.467217
0.305724,0.377308,0.381616
0.358117,0.305724,0.313903
0.407076,0.358117,0.361653
0.400739,0.407076,0.40654
0.267427,0.400739,0.400778
0.28544,0.267427,0.275726
0.306311,0.28544,0.292108
0.254594,0.306311,0.309763
0.228464,0.254594,0.262248
0.203473,0.228464,0.238621
0.185138,0.203473,0.216001
0.314288,0.185138,0.199566
0.369271,0.314288,0.31757
0.36525,0.369271,0.367547
