#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.0732538,0.0779757,0.0742892
0.0476314,0.0732538,0.0736277
0.0522538,0.0476314,0.0492735
0.0404392,0.0522538,0.0539138
0.0472884,0.0404392,0.0420567
0.0302697,0.0472884,0.0474964
0.0215715,0.0302697,0.0390415
0.0364827,0.0215715,0.029546
0.0254534,0.0364827,0.0400654
0.0301306,0.0254534,0.030471
0.0266264,0.0301306,0.03436
0.00916542,0.0266264,0.0345797
0.00587004,0.00916542,0.0321799
0.00587004,0.00587004,0.0139932
0.00587004,0.00587004,0.0157495
0.0123514,0.00587004,0.0146954
0.00587004,0.0123514,0.0292992
0.00587004,0.00587004,0.00748645
0.00587004,0.00587004,0.00962647
0.00587004,0.00587004,0.00986424
0.00587004,0.00587004,0.0204256
0.00587004,0.00587004,0.00791243
0.00587004,0.00587004,0.00436337
0.00587004,0.00587004,0.00834742
