#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.0837314,0.0667873,0.0842643
0.0712308,0.0837314,0.100688
0.0892436,0.0712308,0.0793201
0.0929117,0.0892436,0.0961282
0.128545,0.0929117,0.101155
0.183661,0.128545,0.136571
0.14184,0.183661,0.188799
0.115537,0.14184,0.148473
0.14944,0.115537,0.118778
0.151279,0.14944,0.154894
0.169138,0.151279,0.154856
0.149793,0.169138,0.171813
0.133266,0.149793,0.153041
0.150101,0.133266,0.137989
0.192146,0.150101,0.154028
0.220745,0.192146,0.193785
0.24176,0.220745,0.219064
0.243122,0.24176,0.238462
0.255752,0.243122,0.239801
0.262129,0.255752,0.252172
0.293537,0.262129,0.258442
0.347356,0.293537,0.286172
0.364191,0.347356,0.33335
0.386866,0.364191,0.347105
