#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.225035,0.260335,0.26044
0.200093,0.225035,0.237398
0.198582,0.200093,0.211805
0.20155,0.198582,0.214266
0.184119,0.20155,0.217004
0.187608,0.184119,0.193021
0.1915,0.187608,0.200671
0.179103,0.1915,0.200601
0.174203,0.179103,0.189122
0.186335,0.174203,0.185672
0.199572,0.186335,0.197273
0.160991,0.199572,0.20904
0.129479,0.160991,0.174403
0.103643,0.129479,0.14659
0.0944426,0.103643,0.121817
0.14352,0.0944426,0.109312
0.138167,0.14352,0.155124
0.130493,0.138167,0.148664
0.169123,0.130493,0.143164
0.171191,0.169123,0.17964
0.153158,0.171191,0.180652
0.169138,0.153158,0.165336
0.186748,0.169138,0.181954
0.189452,0.186748,0.197097
