#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.0422335,0.0464583,0.0607562
0.0239176,0.0422335,0.0514872
0.104274,0.0239176,0.0334895
0.0721404,0.104274,0.109604
0.0475717,0.0721404,0.0809404
0.0416669,0.0475717,0.0633569
0.0280629,0.0416669,0.0595293
0.0369549,0.0280629,0.0477664
0.039465,0.0369549,0.0537498
0.0371836,0.039465,0.0565252
0.0448877,0.0371836,0.055052
0.0333912,0.0448877,0.0618667
0.0377651,0.0333912,0.0524367
0.0502408,0.0377651,0.0553492
0.0596001,0.0502408,0.0668275
0.0461701,0.0596001,0.0751001
0.106083,0.0461701,0.0621339
0.0725529,0.106083,0.115479
0.162279,0.0725529,0.0854276
0.15956,0.162279,0.164062
0.282006,0.15956,0.162022
0.350721,0.282006,0.271102
0.368317,0.350721,0.331956
0.317077,0.368317,0.35018
