#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.0354489,0.0595106,0.0718826
0.0144092,0.0354489,0.039834
0.0114717,0.0144092,0.00970118
0.00587004,0.0114717,0.00969083
0.00587004,0.00587004,0.00809188
0.00587004,0.00587004,0.00529561
0.00587004,0.00587004,0.0103107
0.00587004,0.00587004,0.00268715
0.00587004,0.00587004,0.00217829
0.00587004,0.00587004,0.00783386
0.00587004,0.00587004,0.00912589
0.00587004,0.00587004,0.00336226
0.00587004,0.00587004,0.00591932
0.00587004,0.00587004,0.00450288
0.00587004,0.00587004,0.00734986
0.00587004,0.00587004,0.00944545
0.00587004,0.00587004,0.0107927
0.00587004,0.00587004,0.0101795
0.00587004,0.00587004,0.00818194
0.00587004,0.00587004,0.00858069
0.00587004,0.00587004,0.0121172
0.00587004,0.00587004,0.0105727
0.00587004,0.00587004,0.0108818
0.00587004,0.00587004,0.00954071
