#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.126996,0.138318,0.258438
0.0970891,0.126996,0.255527
0.113715,0.0970891,0.25983
0.0671473,0.113715,0.255993
0.0687974,0.0671473,0.250771
0.0962665,0.0687974,0.242572
0.136932,0.0962665,0.249645
0.122215,0.136932,0.266023
0.192498,0.122215,0.260975
0.126413,0.192498,0.273195
0.0964161,0.126413,0.257651
0.0709411,0.0964161,0.244126
0.0552323,0.0709411,0.242499
0.0589165,0.0552323,0.242393
0.0503019,0.0589165,0.243162
0.0496288,0.0503019,0.240821
0.0530238,0.0496288,0.236084
0.0657763,0.0530238,0.23758
0.0741417,0.0657763,0.239153
0.0829557,0.0741417,0.240202
0.0900448,0.0829557,0.240451
0.0833097,0.0900448,0.241579
0.0672619,0.0833097,0.238984
0.0451022,0.0672619,0.239957
