#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.00588766,0.00588268,0.0064199
0.005773,0.00588766,-0.00348614
0.00588766,0.005773,0.0156686
0.00588766,0.00588766,0.0228727
0.005773,0.00588766,0.0311641
0.00588766,0.005773,0.0378582
0.00588766,0.00588766,0.0446224
0.00575804,0.00588766,0.0435907
0.00588766,0.00575804,0.0468028
0.00520467,0.00588766,0.038437
0.00574807,0.00520467,0.0147769
0.00532432,0.00574807,0.0251346
0.00560848,0.00532432,0.0610675
0.00588268,0.00560848,0.0678827
0.00588268,0.00588268,-0.050236
0.005773,0.00588268,-0.0279002
0.00588766,0.005773,0.0122433
0.00588766,0.00588766,-0.00470526
0.00578795,0.00588766,-0.0264134
0.00588766,0.00578795,-0.0370744
0.00588766,0.00588766,-0.0302582
0.00578795,0.00588766,-0.019726
0.00588766,0.00578795,-0.00716075
0.00588766,0.00588766,0.000723316
