#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.00578795,0.00560848,-0.0116562
0.0161076,0.00578795,-0.0185354
0.00472608,0.0161076,0.128115
0.00588766,0.00472608,0.115492
0.00571317,0.00588766,0.110405
0.0532582,0.00571317,0.125305
0.035306,0.0532582,0.146931
0.00807123,0.035306,0.138685
0.0211377,0.00807123,-0.00186342
0.0161923,0.0211377,-0.020632
0.00579793,0.0161923,-0.00907843
0.00580291,0.00579793,-0.0230976
0.00534925,0.00580291,-0.00834251
0.0487165,0.00534925,0.0183188
0.00491552,0.0487165,0.0382435
0.0161524,0.00491552,0.0558731
0.111561,0.0161524,0.024822
0.045486,0.111561,0.0531382
0.0395735,0.045486,0.035097
0.0635927,0.0395735,0.0259743
0.0420163,0.0635927,0.0293028
0.0364526,0.0420163,0.0546047
0.0155093,0.0364526,0.0746219
0.00312579,0.0155093,0.0960805
