#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.0616185,0.0554567,0.226445
0.048223,0.0616185,0.226962
0.00910818,0.048223,0.229268
0.00313577,0.00910818,0.222743
0.00743809,0.00313577,0.210548
0.00262228,0.00743809,0.208397
0.00585276,0.00262228,0.201151
0.00585276,0.00585276,0.170383
0.00540907,0.00585276,0.172003
0.00584778,0.00540907,0.181288
0.00584778,0.00584778,0.17249
0.00585276,0.00584778,0.175259
0.00588766,0.00585276,0.186188
0.00588766,0.00588766,0.187289
0.00586273,0.00588766,0.00796681
0.00588766,0.00586273,0.0221294
0.00588766,0.00588766,0.0476628
0.00585775,0.00588766,0.0296459
0.00588766,0.00585775,0.0243692
0.00588766,0.00588766,0.0193753
0.00585775,0.00588766,0.0163037
0.00588766,0.00585775,0.0224335
0.00588766,0.00588766,0.0486198
0.00585276,0.00588766,0.0508881
