#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.270274,0.232949,0.247457
0.33451,0.270274,0.245741
0.359696,0.33451,0.277994
0.252018,0.359696,0.270401
0.206891,0.252018,0.255008
0.266136,0.206891,0.225556
0.266884,0.266136,0.212913
0.307629,0.266884,0.202899
0.366735,0.307629,0.199315
0.357402,0.366735,0.194857
0.385495,0.357402,0.231188
0.414459,0.385495,0.261459
0.409679,0.414459,0.304346
0.357587,0.409679,0.336944
0.32076,0.357587,0.332135
0.268549,0.32076,0.324351
0.238657,0.268549,0.306693
0.234918,0.238657,0.271176
0.184871,0.234918,0.264268
0.134848,0.184871,0.238962
0.0860765,0.134848,0.213904
0.0465579,0.0860765,0.181433
0.0694953,0.0465579,0.157313
0.0449377,0.0694953,0.137682
