#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.472703,0.398796,0.373868
0.554387,0.472703,0.421457
0.280419,0.554387,0.47091
0.218865,0.280419,0.287011
0.323447,0.218865,0.23415
0.30219,0.323447,0.328379
0.341868,0.30219,0.305236
0.301153,0.341868,0.335757
0.387569,0.301153,0.300608
0.402584,0.387569,0.364613
0.315192,0.402584,0.374173
0.324714,0.315192,0.305807
0.249764,0.324714,0.310212
0.299633,0.249764,0.254392
0.354381,0.299633,0.300141
0.313975,0.354381,0.346582
0.308791,0.313975,0.320343
0.332331,0.308791,0.311908
0.390126,0.332331,0.327379
0.30225,0.390126,0.368234
0.235013,0.30225,0.30146
0.288585,0.235013,0.240094
0.245856,0.288585,0.280398
0.197374,0.245856,0.245754
