#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.571118,0.727044,0.457716
0.616639,0.571118,0.397635
0.45496,0.616639,0.424403
0.361002,0.45496,0.354397
0.404763,0.361002,0.310462
0.492953,0.404763,0.330551
0.522426,0.492953,0.372599
0.524057,0.522426,0.385716
0.5637,0.524057,0.384956
0.614605,0.5637,0.398394
0.710532,0.614605,0.416949
0.781055,0.710532,0.45122
0.561481,0.781055,0.472523
0.526275,0.561481,0.393701
0.667878,0.526275,0.382367
0.666482,0.667878,0.443485
0.646187,0.666482,0.440436
0.442771,0.646187,0.434195
0.401458,0.442771,0.346159
0.488716,0.401458,0.328019
0.536036,0.488716,0.372927
0.452368,0.536036,0.393069
0.524296,0.452368,0.351698
0.624047,0.524296,0.382577
