#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.268205,0.117225,0.103657
0.343852,0.268205,0.245415
0.346126,0.343852,0.31917
0.414933,0.346126,0.32489
0.38862,0.414933,0.377689
0.226817,0.38862,0.354607
0.163523,0.226817,0.22165
0.0849897,0.163523,0.159829
0.114134,0.0849897,0.0833736
0.103929,0.114134,0.100469
0.0535872,0.103929,0.0769615
0.067561,0.0535872,0.0235215
0.0951598,0.067561,0.033852
0.0813853,0.0951598,0.0578918
0.128262,0.0813853,0.0416041
0.123092,0.128262,0.0898806
0.116307,0.123092,0.0894866
0.117175,0.116307,0.0863754
0.119742,0.117175,0.0893635
0.0923929,0.119742,0.0931329
0.111282,0.0923929,0.0664185
0.0866149,0.111282,0.0805373
0.103894,0.0866149,0.0562775
0.0783493,0.103894,0.0690057
