#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.126996,0.138318,0.0931552
0.0970891,0.126996,0.0976978
0.113715,0.0970891,0.10474
0.0671473,0.113715,0.110044
0.0687974,0.0671473,0.118011
0.0962665,0.0687974,0.114916
0.136932,0.0962665,0.117369
0.122215,0.136932,0.125336
0.192498,0.122215,0.131203
0.126413,0.192498,0.136902
0.0964161,0.126413,0.140962
0.0709411,0.0964161,0.134866
0.0552323,0.0709411,0.130563
0.0589165,0.0552323,0.121247
0.0503019,0.0589165,0.115167
0.0496288,0.0503019,0.119819
0.0530238,0.0496288,0.120157
0.0657763,0.0530238,0.123292
0.0741417,0.0657763,0.126425
0.0829557,0.0741417,0.127752
0.0900448,0.0829557,0.132048
0.0833097,0.0900448,0.135918
0.0672619,0.0833097,0.135896
0.0451022,0.0672619,0.127065
