#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.958148,0.816894,0.0325548
0.702511,0.958148,-0.0863921
0.243129,0.702511,0.0679712
0.131074,0.243129,0.236323
0.154031,0.131074,0.270705
0.235123,0.154031,0.257462
0.119683,0.235123,0.222462
0.126572,0.119683,0.272306
0.153957,0.126572,0.277109
0.103675,0.153957,0.25957
0.0680895,0.103675,0.288392
0.0497535,0.0680895,0.308807
0.0385016,0.0497535,0.319109
0.0208137,0.0385016,0.322879
0.089636,0.0208137,0.332318
0.283296,0.089636,0.2663
0.420247,0.283296,0.170306
0.317166,0.420247,0.120113
0.360533,0.317166,0.157577
0.30895,0.360533,0.149206
0.333513,0.30895,0.179192
0.369198,0.333513,0.172803
0.350024,0.369198,0.159971
0.388187,0.350024,0.164727
