#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.138033,0.140691,0.0907206
0.171635,0.138033,0.0742377
0.180798,0.171635,0.0683596
0.148383,0.180798,0.0659825
0.206287,0.148383,0.0697256
0.184023,0.206287,0.0725387
0.253254,0.184023,0.0563423
0.242915,0.253254,0.0552332
0.324788,0.242915,0.0573702
0.384343,0.324788,0.0553656
0.329938,0.384343,0.0541548
0.42442,0.329938,0.0515912
0.467274,0.42442,0.0502371
0.586617,0.467274,0.0478853
0.541311,0.586617,0.053749
0.486976,0.541311,0.055694
0.35471,0.486976,0.0556194
0.424196,0.35471,0.0590411
0.440094,0.424196,0.0623857
0.504414,0.440094,0.0626288
0.532018,0.504414,0.0642992
0.471462,0.532018,0.0601918
0.454915,0.471462,0.0576168
0.444621,0.454915,0.0567559
