#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.0616185,0.0554567,0.110962
0.048223,0.0616185,0.112596
0.00910818,0.048223,0.123025
0.00313577,0.00910818,0.134529
0.00743809,0.00313577,0.144605
0.00262228,0.00743809,0.132606
0.00585276,0.00262228,0.188543
0.00585276,0.00585276,0.2519
0.00540907,0.00585276,0.251158
0.00584778,0.00540907,0.247434
0.00584778,0.00584778,0.241529
0.00585276,0.00584778,0.248063
0.00588766,0.00585276,0.258208
0.00588766,0.00588766,0.269345
0.00586273,0.00588766,0.195989
0.00588766,0.00586273,0.205761
0.00588766,0.00588766,0.213954
0.00585775,0.00588766,0.208897
0.00588766,0.00585775,0.203143
0.00588766,0.00588766,0.197587
0.00585775,0.00588766,0.199983
0.00588766,0.00585775,0.197446
0.00588766,0.00588766,0.203426
0.00585276,0.00588766,0.202424
