#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.0319708,0.0215067,0.035836
0.0219304,0.0319708,0.0301614
0.0456107,0.0219304,0.0308593
0.0375793,0.0456107,0.0611043
0.0373002,0.0375793,0.0862049
0.0528095,0.0373002,0.0942969
0.0396084,0.0528095,0.102416
0.0452717,0.0396084,0.0858941
0.0350169,0.0452717,0.0710269
0.0299418,0.0350169,0.0651604
0.025131,0.0299418,0.0530719
0.035665,0.025131,0.0458752
0.0433573,0.035665,0.0473606
0.0401767,0.0433573,0.0531124
0.0432078,0.0401767,0.0588871
0.0545793,0.0432078,0.0729777
0.0586074,0.0545793,0.0831985
0.068244,0.0586074,0.0924617
0.0657514,0.068244,0.0987189
0.0965058,0.0657514,0.0996023
0.0512541,0.0965058,0.108221
0.0118202,0.0512541,-0.141929
0.00408298,0.0118202,-0.125688
0.00904337,0.00408298,0.144293
