#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.00588766,0.00588268,-0.06982
0.005773,0.00588766,-0.0749767
0.00588766,0.005773,-0.0607337
0.00588766,0.00588766,-0.0568255
0.005773,0.00588766,-0.0467801
0.00588766,0.005773,-0.0452853
0.00588766,0.00588766,-0.0423028
0.00575804,0.00588766,-0.0252886
0.00588766,0.00575804,-0.0192228
0.00520467,0.00588766,-0.043704
0.00574807,0.00520467,-0.0644291
0.00532432,0.00574807,-0.0488247
0.00560848,0.00532432,-0.129509
0.00588268,0.00560848,-0.0775232
0.00588268,0.00588268,-0.143042
0.005773,0.00588268,-0.119441
0.00588766,0.005773,-0.0929191
0.00588766,0.00588766,-0.111178
0.00578795,0.00588766,-0.117163
0.00588766,0.00578795,-0.126542
0.00588766,0.00588766,-0.127445
0.00578795,0.00588766,-0.111578
0.00588766,0.00578795,-0.103678
0.00588766,0.00588766,-0.100723
