#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.00588766,0.00579793,0.0804362
0.00588766,0.00588766,0.0642205
0.00579793,0.00588766,0.0613745
0.00588766,0.00579793,0.0610209
0.00588766,0.00588766,0.059719
0.00580291,0.00588766,0.061588
0.00588766,0.00580291,0.0692056
0.00588766,0.00588766,0.0709023
0.00579793,0.00588766,0.0662022
0.00588766,0.00579793,0.0608069
0.00588766,0.00588766,0.0608077
0.00579793,0.00588766,0.0632156
0.00588766,0.00579793,0.0660277
0.00588766,0.00588766,0.0620095
0.00577798,0.00588766,0.0623255
0.00588766,0.00577798,0.0612118
0.00588766,0.00588766,0.0582471
0.00577798,0.00588766,0.0590807
0.00588268,0.00577798,0.0602408
0.00588268,0.00588268,0.0605904
0.00576303,0.00588268,0.0606526
0.00587769,0.00576303,0.0624552
0.0058727,0.00587769,0.063398
0.00574807,0.0058727,0.0610361
