#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.0837833,0.0986545,0.0727148
0.062481,0.0837833,0.0836038
0.0436016,0.062481,0.0945733
0.075049,0.0436016,0.130326
0.0676707,0.075049,0.117115
0.0528892,0.0676707,0.130097
0.088634,0.0528892,-0.130119
0.104487,0.088634,-0.138875
0.0690068,0.104487,-0.134194
0.105434,0.0690068,0.11398
0.106048,0.105434,0.116521
0.0848601,0.106048,-0.137035
0.0752933,0.0848601,-0.13611
0.101222,0.0752933,-0.142381
0.0932853,0.101222,-0.136444
0.0742862,0.0932853,-0.129564
0.0762455,0.0742862,-0.128448
0.102877,0.0762455,-0.128625
0.120395,0.102877,-0.11383
0.0824721,0.120395,-0.0940326
0.0957979,0.0824721,-0.0999684
0.0836038,0.0957979,-0.100561
0.0548186,0.0836038,-0.101405
0.104477,0.0548186,-0.113548
