#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.137178,0.208523,0.202592
0.19899,0.137178,0.142289
0.189447,0.19899,0.194892
0.207022,0.189447,0.188734
0.322564,0.207022,0.208439
0.415724,0.322564,0.308258
0.262343,0.415724,0.392409
0.231616,0.262343,0.254823
0.0798942,0.231616,0.226335
0.0239027,0.0798942,0.0972481
0.224165,0.0239027,0.0531067
0.151468,0.224165,0.224919
0.134832,0.151468,0.163173
0.07472,0.134832,0.148499
0.0605842,0.07472,0.090608
0.104055,0.0605842,0.0744479
0.165842,0.104055,0.115828
0.14275,0.165842,0.167125
0.20315,0.14275,0.149221
0.201187,0.20315,0.19815
0.191102,0.201187,0.196161
0.143078,0.191102,0.190204
0.209314,0.143078,0.150663
0.23349,0.209314,0.204173
