#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.126293,0.0805155,0.0813624
0.112833,0.126293,0.118283
0.171941,0.112833,0.110406
0.137501,0.171941,0.165891
0.213687,0.137501,0.143507
0.307285,0.213687,0.201515
0.321416,0.307285,0.283379
0.199393,0.321416,0.297034
0.191177,0.199393,0.192044
0.246423,0.191177,0.186365
0.204005,0.246423,0.230494
0.165092,0.204005,0.197881
0.120353,0.165092,0.169997
0.143555,0.120353,0.133308
0.124752,0.143555,0.149212
0.299213,0.124752,0.137031
0.182419,0.299213,0.286992
0.137198,0.182419,0.179771
0.181857,0.137198,0.140269
0.333022,0.181857,0.172208
0.268084,0.333022,0.307632
0.299372,0.268084,0.255266
0.178363,0.299372,0.279877
0.195153,0.178363,0.176049
