#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.00587004,0.00587004,0.0177914
0.00587004,0.00587004,0.015556
0.00587004,0.00587004,0.0139161
0.00587004,0.00587004,0.0149416
0.00587004,0.00587004,0.0123574
0.00587004,0.00587004,0.0105512
0.0188329,0.00587004,0.0117218
0.0448479,0.0188329,0.0243312
0.0402553,0.0448479,0.045046
0.066504,0.0402553,0.0432493
0.0858537,0.066504,0.0653506
0.0750133,0.0858537,0.0811864
0.0613845,0.0750133,0.073294
0.0702765,0.0613845,0.0621846
0.0754656,0.0702765,0.068513
0.0958045,0.0754656,0.0756884
0.102853,0.0958045,0.0951592
0.103509,0.102853,0.102224
0.0622344,0.103509,0.105172
0.0527857,0.0622344,0.0712692
0.0503104,0.0527857,0.0632216
0.0799539,0.0503104,0.0607978
0.127322,0.0799539,0.0866238
0.154977,0.127322,0.127236
