#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.873588,0.906452,0.806634
0.889901,0.873588,0.797152
0.861997,0.889901,0.807334
0.719958,0.861997,0.798644
0.564454,0.719958,0.733928
0.500664,0.564454,0.630349
0.498168,0.500664,0.574326
0.537897,0.498168,0.563192
0.552212,0.537897,0.586987
0.637971,0.552212,0.597143
0.753836,0.637971,0.658061
0.804261,0.753836,0.729743
0.793559,0.804261,0.770292
0.782098,0.793559,0.773953
0.713238,0.782098,0.774064
0.644134,0.713238,0.741948
0.594062,0.644134,0.701499
0.620714,0.594062,0.657065
0.624864,0.620714,0.669374
0.604903,0.624864,0.668506
0.546013,0.604903,0.651293
0.534711,0.546013,0.60302
0.566725,0.534711,0.588926
0.589311,0.566725,0.610914
