#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.00587004,0.00587004,0.014121
0.0248222,0.00587004,0.0129243
0.0545054,0.0248222,0.0334711
0.0766933,0.0545054,0.0584773
0.0855754,0.0766933,0.074835
0.115706,0.0855754,0.0815281
0.138784,0.115706,0.109574
0.13435,0.138784,0.131509
0.186022,0.13435,0.126256
0.21743,0.186022,0.180643
0.127133,0.21743,0.212759
0.290674,0.127133,0.118738
0.359961,0.290674,0.288051
0.328946,0.359961,0.343428
0.359961,0.328946,0.312639
0.378943,0.359961,0.342675
0.401186,0.378943,0.359586
0.394302,0.401186,0.378675
0.380077,0.394302,0.373262
0.350746,0.380077,0.360235
0.334965,0.350746,0.335013
0.324373,0.334965,0.325102
0.339737,0.324373,0.318641
0.372387,0.339737,0.334622
