#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.376354,0.318682,0.309952
0.274123,0.376354,0.359695
0.310834,0.274123,0.272517
0.240836,0.310834,0.30439
0.146393,0.240836,0.242966
0.0655944,0.146393,0.155689
0.0836568,0.0655944,0.0752957
0.0903917,0.0836568,0.0953908
0.0479296,0.0903917,0.100532
0.0399173,0.0479296,0.0575527
0.0513691,0.0399173,0.04984
0.134176,0.0513691,0.0627197
0.201331,0.134176,0.145908
0.143714,0.201331,0.204868
0.0896611,0.143714,0.146593
0.0839203,0.0896611,0.0929588
0.0743274,0.0839203,0.0901381
0.0890497,0.0743274,0.0813512
0.119861,0.0890497,0.0955427
0.126422,0.119861,0.126326
0.0865744,0.126422,0.131327
0.075908,0.0865744,0.0911347
0.0554548,0.075908,0.081409
0.0895815,0.0554548,0.0627143
