#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.255031,0.362109,0.36704
0.354837,0.255031,0.252236
0.480623,0.354837,0.366802
0.442386,0.480623,0.497371
0.363013,0.442386,0.460223
0.363997,0.363013,0.376251
0.27296,0.363997,0.376735
0.313791,0.27296,0.275383
0.314572,0.313791,0.321118
0.320462,0.314572,0.321243
0.356761,0.320462,0.327295
0.327609,0.356761,0.366307
0.368714,0.327609,0.333723
0.401181,0.368714,0.379238
0.417459,0.401181,0.415081
0.494431,0.417459,0.434007
0.42983,0.494431,0.510423
0.485171,0.42983,0.44827
0.516355,0.485171,0.501052
0.500425,0.516355,0.528556
0.401539,0.500425,0.512568
0.369067,0.401539,0.413468
0.392433,0.369067,0.378646
0.486165,0.392433,0.404571
