#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.267199,0.282528,0.276962
0.235309,0.267199,0.265223
0.241522,0.235309,0.234768
0.297588,0.241522,0.241613
0.269555,0.297588,0.298599
0.243579,0.269555,0.270242
0.259848,0.243579,0.243615
0.244186,0.259848,0.25766
0.214642,0.244186,0.242073
0.187334,0.214642,0.212304
0.203294,0.187334,0.185083
0.157005,0.203294,0.199133
0.0832741,0.157005,0.155828
0.135344,0.0832741,0.0903352
0.116929,0.135344,0.13372
0.0848945,0.116929,0.118471
0.0826478,0.0848945,0.0947462
0.0767032,0.0826478,0.0949405
0.0610713,0.0767032,0.0923418
0.0675428,0.0610713,0.0803938
0.0469007,0.0675428,0.0848119
0.0299765,0.0469007,0.066885
0.0163079,0.0299765,0.053023
0.0111586,0.0163079,0.042422
