#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.157974,0.188418,0.192298
0.153203,0.157974,0.160756
0.210308,0.153203,0.152474
0.305874,0.210308,0.202801
0.219314,0.305874,0.294338
0.21072,0.219314,0.216823
0.253759,0.21072,0.212866
0.31323,0.253759,0.246287
0.373357,0.31323,0.300963
0.275857,0.373357,0.360996
0.302151,0.275857,0.272885
0.350443,0.302151,0.295325
0.338867,0.350443,0.334616
0.331362,0.338867,0.326115
0.288542,0.331362,0.321874
0.235836,0.288542,0.2802
0.247138,0.235836,0.235619
0.212753,0.247138,0.247269
0.283517,0.212753,0.220058
0.361289,0.283517,0.281789
0.283646,0.361289,0.348734
0.224612,0.283646,0.2787
0.147188,0.224612,0.225437
0.182265,0.147188,0.154619
