#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.00587004,0.00587004,-0.00239775
0.00587004,0.00587004,0.0147834
0.00587004,0.00587004,0.0121239
0.00587004,0.00587004,0.00998508
0.00587004,0.00587004,0.0103006
0.00587004,0.00587004,0.0115303
0.00587004,0.00587004,0.0108242
0.00587004,0.00587004,0.00889535
0.00587004,0.00587004,0.0111171
0.00587004,0.00587004,0.01072
0.00587004,0.00587004,0.0111229
0.00587004,0.00587004,0.0108595
0.00587004,0.00587004,0.0105803
0.00587004,0.00587004,0.0106659
0.00587004,0.00587004,0.0113051
0.00587004,0.00587004,0.0108232
0.00587004,0.00587004,0.00903748
0.00587004,0.00587004,0.00856733
0.00587004,0.00587004,0.00814644
0.00587004,0.00587004,0.00743863
0.00587004,0.00587004,0.00870494
0.00587004,0.00587004,0.00775866
0.00587004,0.00587004,0.00824911
0.00587004,0.00587004,0.008374
