#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.721315,0.747409,0.652331
0.732568,0.721315,0.641457
0.813863,0.732568,0.650937
0.849496,0.813863,0.697673
0.915881,0.849496,0.720931
0.921473,0.915881,0.754138
0.923356,0.921473,0.763876
0.925305,0.923356,0.770247
0.806358,0.925305,0.775558
0.781108,0.806358,0.731596
0.826876,0.781108,0.722459
0.935882,0.826876,0.743507
0.943984,0.935882,0.785392
0.896208,0.943984,0.790766
0.844839,0.896208,0.776539
0.795607,0.844839,0.758357
0.747871,0.795607,0.738475
0.773643,0.747871,0.716893
0.710598,0.773643,0.727511
0.785632,0.710598,0.696671
0.814211,0.785632,0.730868
0.875988,0.814211,0.743249
0.8733,0.875988,0.767888
0.745903,0.8733,0.768713
