arm,panel,seed,source,n_days,rank_ic_1,rank_ic_se,rank_ic_t,net_pct,sharpe,mdd_pct,turnover,cost_pct
lstm,set2_core7,43,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/lstm/set2_core7_seed43/predictions.csv,1258,0.020816446052279128,0.006306225132983986,3.300936077178897,64.45782773436267,1.2546500503472986,22.665063626698323,0.1440353046914522,7.144431098600022
lstm,set2_core7,44,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/lstm/set2_core7_seed44/predictions.csv,1258,0.02264073500789459,0.006234848336593439,3.6313208895575007,38.04004561216291,0.7107065650469835,19.282179114088713,0.14680240484429924,7.55877317846864
lstm,set3_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/lstm/set3_core7_seed42/predictions.csv,1258,0.014897822742324252,0.005570608860622362,2.6743616568799684,19.687754619447567,0.3092693654179547,25.838819184555057,0.12610269380309755,5.8122680178786625
lstm,set3_core7,43,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/lstm/set3_core7_seed43/predictions.csv,1258,0.007781681276493518,0.0057200038325099685,1.3604328780805859,0.22905686800648944,0.0036322260816590403,20.99886606960267,0.1314797936213117,5.8839273511042185
lstm,set3_core7,44,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/lstm/set3_core7_seed44/predictions.csv,1258,0.015104539923635892,0.005869017850097981,2.573606063130942,47.902912479605234,0.6869923669991318,23.463090578569997,0.12910731797898892,6.1053077073169195
lstm,set4_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/lstm/set4_core7_seed42/predictions.csv,1257,0.017221336941078285,0.0056276211105431686,3.0601450600173954,43.23137780432076,0.7220319286631008,22.154974534507435,0.11877284382459567,5.526129888082713
lstm,set4_core7,43,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/lstm/set4_core7_seed43/predictions.csv,1257,0.016291413214316815,0.006025640898622289,2.703681398943257,14.539995448170073,0.28263231549246637,13.302003707461948,0.14075674174154168,6.6311067107539134
lstm,set4_core7,44,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/lstm/set4_core7_seed44/predictions.csv,1257,0.019896539552759655,0.005763702727704586,3.452041247221562,41.40761210743199,0.6523175531794371,25.453694221274407,0.12860651826842298,6.036291506683035
naive,set1_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/naive/set1_core7_seed42/predictions.csv,1258,-0.017510753584395217,0.0071654779543068176,-2.4437663050613896,-26.0537458341225,-0.5679918292023596,43.512954051544696,0.15818609493524918,7.257157044207106
naive,set2_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/naive/set2_core7_seed42/predictions.csv,1258,-0.025648679898069588,0.006867321080701755,-3.7348886991968944,-53.25290888561116,-1.3630858252709943,60.17324499102941,0.1591542075893432,8.047904688858976
naive,set3_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/naive/set3_core7_seed42/predictions.csv,1258,-0.017284279206475024,0.006836701862782438,-2.528160442474023,-45.72403155950007,-1.2544754465421062,52.43915823915658,0.15807361847849558,7.404717872470221
naive,set4_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/naive/set4_core7_seed42/predictions.csv,1257,-0.024385684472635696,0.006681047571136461,-3.649979170629919,-44.9474718473926,-1.3127733281253708,51.42148084375201,0.15905953971874331,7.358979834827819
periodic_lstm_monthly,set1_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_monthly/set1_core7_seed42/predictions.csv,1258,0.005421691383980097,0.005948928481482502,0.911372762482595,-6.334471286174098,-0.09440041700133725,28.66281455122112,0.13103323175189774,6.278381299629811
periodic_lstm_monthly,set1_core7,43,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_monthly/set1_core7_seed43/predictions.csv,1258,0.0066218396011356985,0.005938570144139195,1.1150562240425543,-6.6212585905618155,-0.10304084951446689,30.29363586899838,0.1350113529245126,6.575268549576881
periodic_lstm_monthly,set1_core7,44,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_monthly/set1_core7_seed44/predictions.csv,1258,0.008033868885672169,0.005723791628259211,1.4035921304346166,18.10958908010188,0.2925868504958973,22.95992122540643,0.1320966258323075,6.301163285876891
periodic_lstm_monthly,set2_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_monthly/set2_core7_seed42/predictions.csv,1258,0.020245863093085476,0.006024367904350678,3.3606618012927663,37.34612057646763,0.6508315498658589,16.39179146752114,0.1415696568321229,7.208161362630537
periodic_lstm_monthly,set2_core7,43,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_monthly/set2_core7_seed43/predictions.csv,1258,0.020166418035228156,0.005963934874186604,3.3813947436806258,80.87029876364798,1.6882971639778277,10.918147147225262,0.13788021862463531,7.1147522201824644
periodic_lstm_monthly,set2_core7,44,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_monthly/set2_core7_seed44/predictions.csv,1258,0.019611636483202667,0.0061168139285155,3.20618490482058,64.00106505196213,1.2326341367667268,9.986797082171064,0.14021908472673641,7.152032156903188
periodic_lstm_monthly,set3_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_monthly/set3_core7_seed42/predictions.csv,1258,0.012543357870261436,0.0056730946450967495,2.2110256667589088,34.37363791140389,0.5315494157832905,21.25354356254956,0.13260557563760855,6.105417865781352
periodic_lstm_monthly,set3_core7,43,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_monthly/set3_core7_seed43/predictions.csv,1258,0.006304843567240456,0.0057928368106964535,1.088386186815859,10.968856341328115,0.17143307039668876,21.06122812022069,0.13194710801106763,6.050103746209134
periodic_lstm_monthly,set3_core7,44,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_monthly/set3_core7_seed44/predictions.csv,1258,0.00800174911093699,0.005677382010520156,1.4094082617850614,38.413235998146966,0.6058770234865867,11.966668514062253,0.13521081718436992,6.240388401777014
periodic_lstm_monthly,set4_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_monthly/set4_core7_seed42/predictions.csv,1257,0.021353494018211943,0.005990183797952793,3.564747717008236,38.21471999573061,0.7453076496480919,19.108606632516146,0.1393144877102514,6.673892836051113
periodic_lstm_monthly,set4_core7,43,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_monthly/set4_core7_seed43/predictions.csv,1257,0.019911353202992407,0.006020202840654006,3.307422312838438,30.263247441180578,0.5858572831708632,17.467392239628605,0.13979702329544438,6.773200606176822
periodic_lstm_monthly,set4_core7,44,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_monthly/set4_core7_seed44/predictions.csv,1257,0.023149284659551118,0.006035378133549628,3.8355980598577957,51.34210863220099,0.9449405570566884,22.78468270822067,0.13999973810425123,6.7875549006541185
periodic_lstm_quarterly,set1_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_quarterly/set1_core7_seed42/predictions.csv,1258,0.006370048229471004,0.006073752674303932,1.0487829470601597,20.03759260776653,0.3086032501430606,35.56639497780834,0.1316307442691962,6.254984472169607
periodic_lstm_quarterly,set1_core7,43,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_quarterly/set1_core7_seed43/predictions.csv,1258,0.010555724582827764,0.006150827254580633,1.7161471369508425,-5.484008068115841,-0.07213783246140787,43.046248801933814,0.13043378540610187,6.294657274409676
periodic_lstm_quarterly,set1_core7,44,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_quarterly/set1_core7_seed44/predictions.csv,1258,0.011450711897724529,0.005848009557516893,1.9580528699728363,25.404159372379926,0.3674455236438351,29.296999333000112,0.1252926316487352,6.045498203567072
periodic_lstm_quarterly,set2_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_quarterly/set2_core7_seed42/predictions.csv,1258,0.022076341551105973,0.0061422084390450596,3.5942026015870967,67.8720963125311,1.246601775352526,21.67391644479364,0.13856976854959518,7.11586133159656
periodic_lstm_quarterly,set2_core7,43,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_quarterly/set2_core7_seed43/predictions.csv,1258,0.02359954435121403,0.006124238465576971,3.8534659425595525,74.44430875271252,1.2606781525758493,19.39113912854646,0.13806493827408253,7.062347809546674
periodic_lstm_quarterly,set2_core7,44,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_quarterly/set2_core7_seed44/predictions.csv,1258,0.026020982748203993,0.006208583633083067,4.191130261908457,65.26495158218046,1.1895060209255772,19.873865513865415,0.1350971539378813,6.991017343178796
periodic_lstm_quarterly,set3_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_quarterly/set3_core7_seed42/predictions.csv,1258,0.004039437040185014,0.005818330318562785,0.6942605213213154,0.27643779972550536,0.0038549604739960964,24.920704882286802,0.12619739660623647,5.757730611363376
periodic_lstm_quarterly,set3_core7,43,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_quarterly/set3_core7_seed43/predictions.csv,1258,0.010930669840007852,0.005755156347301874,1.8992828657265508,36.691598705858794,0.5371909934670696,15.978947927290632,0.12337307051887882,5.684134902664063
periodic_lstm_quarterly,set3_core7,44,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_quarterly/set3_core7_seed44/predictions.csv,1258,0.01252181410848618,0.005648159052705813,2.216972643942714,40.39957693372263,0.5730257974647203,20.801463130808827,0.1329482412424597,6.202846113995543
periodic_lstm_quarterly,set4_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_quarterly/set4_core7_seed42/predictions.csv,1257,0.019405395325134522,0.006241852602344216,3.108915983989521,48.41661285539156,0.870296577153316,24.047493520418367,0.1381729216622721,6.695776110343491
periodic_lstm_quarterly,set4_core7,43,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_quarterly/set4_core7_seed43/predictions.csv,1257,0.02244094721243736,0.006036784637514447,3.7173675325408113,31.43673473356993,0.5973308081305208,17.65056734361534,0.13585800438363627,6.604468818618359
periodic_lstm_quarterly,set4_core7,44,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_quarterly/set4_core7_seed44/predictions.csv,1257,0.02140679101268469,0.006049008452662686,3.5388925606909565,42.93600839853502,0.8010087817245981,19.244412230114598,0.13850097911924023,6.719126968352328
periodic_lstm_yearly,set1_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_yearly/set1_core7_seed42/predictions.csv,1258,0.010013145946184928,0.0062437206588224345,1.6037145947643032,31.673467901124784,0.4602001329153042,35.56639497780834,0.12909200675292978,6.193194561455135
