suite,strategy,panel,seed,net_pct,sharpe,mdd_pct,turnover,cost_pct,n_days
8isl,sleeves_reg,set1,42,12.644238139197975,0.18063148616742702,44.82040490026658,0.12172935380401677,5.685791526244317,1249
8isl,sleeves_h5,set1,42,5.40617711965373,0.07218524179521003,47.485494478485585,0.2115264045331352,9.859416623059513,1249
8isl,rank_weight,set1,42,21.204712323917533,0.2633154989563601,51.08990524853384,0.13639922416107386,6.556285629986201,1249
8isl,banded15,set1,42,28.292003989156804,0.31465955679837987,55.98014913765421,0.23444737883377825,11.541201347402918,1249
8isl,banded25,set1,42,35.02938077614206,0.4049674711859103,51.26472890914528,0.09151495586255166,4.703576088459894,1249
8isl,beta_neutral,set1,42,12.32426841938442,0.15805854945758022,32.763626316679066,0.1423725414498653,6.307751863150475,1249
8isl,long_only,set1,42,70.35334047586181,0.5833564560431543,54.75026125214227,0.061426320819810955,3.471202894416052,1249
8isl,sleeves_reg,set1,43,42.31913707124807,0.6524506254430926,31.127330098633866,0.10741659724270677,4.929335845128287,1249
8isl,sleeves_h5,set1,43,47.90682998594133,0.6857034519820324,28.920442590160295,0.2024717928996041,9.28215262971609,1249
8isl,rank_weight,set1,43,45.1158304550903,0.5982906828397928,35.892503694648155,0.12329486117400994,5.768260729454619,1249
8isl,banded15,set1,43,31.50969675331256,0.3573513357395497,43.37311211985633,0.15367251134795576,7.760238532133263,1249
8isl,banded25,set1,43,63.63765390833943,0.777717795674393,27.982354919663393,0.06187010864844716,3.0739049696759895,1249
8isl,beta_neutral,set1,43,29.69335319851717,0.3853729024341967,25.908056624151342,0.13208874626753134,5.791188986006501,1249
8isl,long_only,set1,43,86.91046171835109,0.7285258395974721,52.88139754522749,0.051269728140586855,2.658313876062434,1249
8isl,sleeves_reg,set1,44,10.14842568368369,0.1422574573273912,37.3448257143728,0.13381600155061682,6.104492474105402,1249
8isl,sleeves_h5,set1,44,27.158626793475744,0.33227243392144007,40.21722726054304,0.24329023849442788,11.211788417633976,1249
8isl,rank_weight,set1,44,11.293502487298063,0.13570711585342374,40.5808785105542,0.1463747878703877,6.7474390981465255,1249
8isl,banded15,set1,44,3.0253637884496127,0.030346313253108423,45.11544163595796,0.337298534390216,15.991847305501825,1249
