arm,panel,n_seeds,rank_ic_1,net_pct,sharpe,mdd_pct,turnover,cost_pct
ew_buy_hold,set1_core7,1,,57.77782068833004,0.4734337985177402,36.91759707978154,0.000397456279809221,0.0161013579100186
ew_buy_hold,set2_core7,1,,79.12768465863425,0.5992521401432988,36.56884162032309,0.000397456279809221,0.019367135846305637
ew_buy_hold,set3_core7,1,,82.30287430529621,0.6597585167713806,38.848221205900664,0.000397456279809221,0.014662712846483895
ew_buy_hold,set4_core7,1,,64.51472995469798,0.5769976837616638,38.875007450906764,0.0003977724741447892,0.014059359309042993
naive,set1_core7,1,-0.017510753584395217,-26.0537458341225,-0.5679918292023596,43.512954051544696,0.15818609493524918,7.257157044207106
naive,set2_core7,1,-0.025648679898069588,-53.25290888561116,-1.3630858252709943,60.17324499102941,0.1591542075893432,8.047904688858976
naive,set3_core7,1,-0.017284279206475024,-45.72403155950007,-1.2544754465421062,52.43915823915658,0.15807361847849558,7.404717872470221
naive,set4_core7,1,-0.024385684472635696,-44.9474718473926,-1.3127733281253708,51.42148084375201,0.15905953971874331,7.358979834827819
str1,set1_core7,1,0.017510753584395217,11.526485019731442,0.25159896282838484,29.238870268199147,0.15818604305917494,7.257051749910091
str1,set2_core7,1,0.025648679898069588,37.236004686224284,0.9540581464890533,16.85453387176129,0.15915384113085118,8.047784136045854
str1,set3_core7,1,0.017284279206475024,30.914670288845976,0.8488359719321595,13.587991349252567,0.15805783553676236,7.404470610351519
str1,set4_core7,1,0.024385684472635696,30.185863869669372,0.8828178470315867,12.304035970427933,0.15906006018171037,7.358856728635675
str5,set1_core7,1,0.0037063286372150707,-1.4321307141773407,-0.037979823123365584,17.6590838246896,0.15851989635311908,7.258221132089257
str5,set2_core7,1,0.008969531273484195,18.271302586113983,0.5331453321234076,8.421188619333634,0.15797769550383287,8.059320124862543
str5,set3_core7,1,0.004593472201703298,8.642361637787358,0.22494643865929378,9.974173659381961,0.1583570147593331,7.342016139545069
str5,set4_core7,1,0.007403746049600422,-5.4454348593208115,-0.17874923251826752,18.169195170545336,0.15828937620118416,7.180867791856186
ridge,set1_core7,1,0.012560096348880698,52.63344737167167,0.6668513924064938,35.98708416457429,0.1170375030417623,5.467328497497425
ridge,set2_core7,1,0.027105587894377565,69.40051031746961,1.3924791587863279,21.19841481253793,0.14635182871064023,7.432822151011467
ridge,set3_core7,1,0.003218113068722986,-25.553693966031872,-0.42868844064336,28.036234715914922,0.13637870175540667,6.395104344991031
ridge,set4_core7,1,0.025033781278161398,53.50024295177999,1.1498140713316014,16.146261694192347,0.14048811139071618,6.461230557723207
