arm,label,n_panels,n_runs,partial,rank_ic_1_mean,rank_ic_1_se,net_pct_mean,net_pct_se,sharpe_mean,sharpe_se,mdd_pct_mean,mdd_pct_se,turnover_mean,turnover_se,cost_pct_mean,cost_pct_se
ew_buy_hold,EW buy&hold (long-only ref),4,4,,,,70.93077740173962,5.850069883553593,0.5773605347985209,0.038804604529854785,37.802416839228016,0.615681953948643,0.00039753532839311307,7.904858389204698e-08,0.016047641477962782,0.0011864941920797275
naive,naive persistence,4,4,,-0.02120734929039388,0.002215147301240184,-42.49453953165658,5.7914355176737216,-1.1245816072852077,0.1868522090523695,51.88670953137067,3.407199339469966,0.15861836518045783,0.00028363247853854074,7.517189860091031,0.1795725607528134
str1,STR1 (1-day reversal),4,4,,0.02120734929039388,0.002215147301240184,27.465755966117772,5.543856324553799,0.7343277320702961,0.16239611318006983,17.996357864910237,3.867967500899858,0.1586144449771247,0.00028619099007719137,7.517040806235785,0.179577523406704
str5,STR5 (5-day reversal),4,4,,0.006168269540500747,0.0012218363628424625,5.0090246626007975,5.321915067115238,0.13534067878526707,0.15678281240424136,13.555910318487634,2.538251274190678,0.1582859957043673,0.00011358317842849781,7.460106297088264,0.20242987661480075
ridge,online ridge/RLS,4,4,,0.016979394647535662,0.005599970251497271,37.49512666872235,21.366718259454156,0.6951140454702658,0.40381524448502365,25.341998846804874,4.304141598216376,0.13506403622463134,0.006347697053954715,6.439121387805782,0.40148152135787696
ar,online AR (OGD/ONS),4,4,,0.014697036115429038,0.001158806738195926,-12.523077776798043,11.685403885172207,-0.19542300884210775,0.14157611960833347,43.45297507431352,1.7239661718775152,0.10838926227586788,0.004120544367366479,5.143367402058463,0.325417241446991
lstm,online LSTM,4,12,,0.015309920189272411,0.0026165146974188934,31.1360184341179,6.072514910482959,0.5140938715410357,0.1387995826536536,24.345627467236564,4.00554654930173,0.130627680880495,0.004114230168987873,6.197327160241114,0.2951945640543477
gru,online GRU,4,12,,0.013277073136797128,0.0034632473430808706,28.187018028133316,8.61442749497603,0.46035517883222443,0.15479124355053353,24.463802761440483,4.406191316115076,0.13674675667461952,0.004690427062861884,6.496494891669182,0.3740388096028786
periodic_ridge_yearly,"periodic ridge, yearly",4,4,,0.02036734948429017,0.004168614370129013,59.60117706766265,6.449252736975094,1.0238220004557188,0.20836278172569397,24.550014183814106,5.076523771034614,0.13276719400744735,0.006024244387957732,6.263074910535251,0.42154206873291106
periodic_ridge_quarterly,"periodic ridge, quarterly",4,4,,0.01977398794338862,0.004616569968034037,53.752333437954604,10.30266465087711,0.9520632573992305,0.2535661043538257,24.550014183814106,5.076523771034614,0.13501882638854523,0.005065962030141354,6.395586834693753,0.35648701997597765
periodic_ridge_monthly,"periodic ridge, monthly",4,4,,0.02004286664276696,0.004426907521890366,52.9709432841471,10.49555931614001,0.9477055659038849,0.2527213803236578,23.49498749877325,4.844918969494251,0.13530257548563027,0.00504172040920596,6.418646912821879,0.35451382336623366
periodic_lstm_yearly,"periodic LSTM, yearly",4,12,,0.016998674425966857,0.003691160448214032,39.26435586554763,11.073193309998635,0.6688813689609135,0.2236376542922003,24.030249860050603,4.122726130410134,0.1326509048698621,0.0021401849724756567,6.468881409116217,0.2503773576168359
periodic_lstm_quarterly,"periodic LSTM, quarterly",4,12,,0.015901533991623577,0.0038484175247511625,37.30800583218817,12.03454584109673,0.6402837340494718,0.22892913627518188,24.291012769540195,3.8934145085160434,0.13284496963485964,0.0026379287667104797,6.452370829983796,0.25883040913037514
periodic_lstm_monthly,"periodic LSTM, monthly",4,12,,0.014280449992624886,0.003769453037372858,32.57892915961957,12.319710327275116,0.6043227861777263,0.24556991318134028,19.40460242664511,3.067322201457826,0.1363904100529338,0.0019700841704343875,6.605026435954111,0.22321696078695363
control1_random_single,control: random-arch RNN (single),4,12,,0.008905377876114805,0.002153492794561999,14.312525,6.161874421817977,0.37774166666666664,0.16788746196264703,15.014258333333332,1.388311990123724,0.15081666666666665,0.0014792703406547266,7.233408333333334,0.2053027589858991
control1_random_ensemble,control: random-arch RNN ensemble,4,12,,0.016854272581365175,0.003829343370797212,36.913983333333334,6.332580139138479,0.6824833333333333,0.15767460310069903,21.124449999999996,2.487565184424171,0.13690833333333333,0.004470507780422128,6.5138,0.35557847157054406
control2_fixed_single,control: fixed-arch RNN (single),4,12,,0.010728025076907012,0.0032416905950541403,10.798933333333334,8.094237859885723,0.3035333333333333,0.21732468967133195,16.1544,1.6368724221763529,0.149125,0.0014889329388176973,7.225108333333334,0.21703174642971781
control2_fixed_ensemble,control: fixed-arch RNN ensemble,4,12,,0.01529323430793796,0.004281390276381808,33.45365,6.879684749970851,0.65595,0.1787436227818637,21.928275,3.864653728568202,0.13828333333333334,0.004675200530458558,6.566583333333333,0.3758906138906786
onenas_single,ONE-NAS evolved RNN (single),4,12,,0.007930441918690492,0.0032566608765542465,15.287760114275724,7.4351007541240355,0.2615347035753356,0.12044154695552063,22.15300760566609,2.9899423563392316,0.1413070164482388,0.0011766510377967518,6.711555713326745,0.23795376609841293
onenas_ensemble,ONE-NAS evolved RNN ensemble,4,12,,0.010601612930183416,0.0036416892553138972,41.365737254435345,8.180549711125744,0.6356161789006904,0.13942308336001236,24.463418804476373,4.532412777426466,0.1261093442331661,0.003351387302526841,5.931840924203351,0.30271044687331183
