arm,panel,seed,window,n_days,pearson_ic,pearson_t,rank_ic,net_pct,sharpe,mdd_pct,turnover,cost_pct,trigger_rate,avg_hold_days
onenas_8isl,set1,42,2020,253,-0.025956231707473118,-1.8601658306779492,-0.026947335489644085,-56.80191568291642,-2.2123039576256462,70.3530359754416,0.9781126335968378,12.426335682916406,1.0,1.0
onenas_8isl,set1,42,2021,252,0.006909984402632832,0.5145333289102414,0.0017228225461552412,2.205865529542968,0.14103736814458073,14.415359161740291,0.751867662103174,7.851384470457026,1.0,1.0
onenas_8isl,set1,42,2022,251,0.0068715693541223696,0.5494783835068671,-0.0017954750600395113,6.030268536630457,0.34843526825800014,11.715978918563453,0.7583013069721117,6.904031463369537,1.0,1.0
onenas_8isl,set1,42,2023,250,0.005585575454334798,0.44619122263031147,-0.0013138165224202436,-6.680545742540121,-0.45542051464502414,11.260306554859863,0.9408966698000001,6.595235742540115,1.0,1.0
onenas_8isl,set1,42,2024,243,0.021946985491320743,1.931033195118882,0.01629601916780977,24.8181797346693,1.9102887973919491,7.458153340198222,1.0409471403292176,8.125250265330697,1.0,1.0
onenas_8isl,set1,42,2022-24,744,0.011363273179918478,1.6197829369922918,0.004275288020299458,24.17272073844282,0.5344522562847949,13.208067221265217,0.91184294092742,21.61969926155716,1.0,1.0
onenas_8isl,set1,42,2020-24,1249,0.002905255959433251,0.506449196463405,-0.0025642196238158817,-30.414205621252194,-0.3411367853516856,70.3530359754416,0.8923622644515621,41.8882956212522,1.0,1.0
onenas_8isl,set1,43,2020,253,-0.009504250815760803,-0.6521870618815326,-0.007395668461493447,-28.097034966411428,-1.1019756716528524,55.704145546029835,0.8751000701581026,11.102854966411407,1.0,1.0
onenas_8isl,set1,43,2021,252,0.020677872319313666,1.7067869479925986,0.014849673847471542,20.544511397226763,1.3211904239044796,10.178961582405584,0.7599305761904763,7.917018602773223,1.0,1.0
onenas_8isl,set1,43,2022,251,-0.003091771047395081,-0.25657691875886784,-0.004610575137161106,-2.2201577693541483,-0.1418872707557348,10.72359699175186,0.8329668254980082,7.043387769354146,1.0,1.0
onenas_8isl,set1,43,2023,250,0.014535375434363932,1.2548192252353962,0.007975012881625294,8.577407527222809,0.583224079718573,11.790062717739074,0.7734229835999996,5.330942472777203,1.0,1.0
onenas_8isl,set1,43,2024,243,0.01119794567170434,0.9913761025939536,0.010561942451354037,4.954042580977254,0.34751963407066694,10.18205709341076,0.6663045045267492,5.087007419022757,1.0,1.0
onenas_8isl,set1,43,2022-24,744,0.0074985351127943205,1.1147879498931124,0.004573993113787523,11.336261384882855,0.25430969917650914,18.520396243117194,0.7573205370967733,17.436368615117107,1.0,1.0
onenas_8isl,set1,43,2020-24,1249,0.006713497591672166,1.2104302077327713,0.0042226297561752625,3.7724228294301847,0.04284480990961992,55.704145546029835,0.7818728024419538,36.46755717056978,1.0,1.0
onenas_8isl,set1,44,2020,253,-0.010941932884192056,-0.6678549147400936,-0.010699705086981339,-39.291742898280766,-1.1527028132303532,57.54252605387571,0.9175651849802375,11.895382898280722,1.0,1.0
onenas_8isl,set1,44,2021,252,0.012668061226295319,0.8698021842974999,0.008736815185006868,4.624277043657752,0.24483005849328088,16.648686404550773,1.1249458156746042,11.616062956342244,1.0,1.0
onenas_8isl,set1,44,2022,251,-0.00033881098157637995,-0.023900619063845673,-0.002050284222142944,-4.5170224376235035,-0.23720708130197773,14.707598445055892,1.1103445848605578,9.431752437623496,1.0,1.0
onenas_8isl,set1,44,2023,250,0.016127159893805938,1.1807137879109737,0.013130186370350622,-2.266539234414189,-0.13398823439001759,14.036623202961335,1.0009876053999995,6.686089234414187,1.0,1.0
onenas_8isl,set1,44,2024,243,0.023122407152869617,1.7107116864349656,0.01736632114367744,8.045691953097542,0.47586915709904093,7.585328032883316,1.0123533288065842,7.537028046902463,1.0,1.0
onenas_8isl,set1,44,2022-24,744,0.012856845907557974,1.6148854729769562,0.009392394207988432,1.2533408050046835,0.023706293569541452,22.052340881869238,1.0422647712365594,23.663659194995283,1.0,1.0
onenas_8isl,set1,44,2020-24,1249,0.007998027033265784,1.2320957164905564,0.005190226845763687,-33.43276097663585,-0.30273246887827476,57.54252605387571,1.0339363112089675,47.193740976635766,1.0,1.0
onenas_8isl,set2,42,2020,253,0.008253319464116402,0.4762789149641702,0.0011574709401983127,4.6486713118516185,0.12261221060062062,37.23392307661036,1.0593050808300397,13.901008688148366,1.0,1.0
onenas_8isl,set2,42,2021,252,0.020731965332831698,1.3634836745557004,0.012033584902983783,11.055728048072774,0.6357841960969317,10.570101120528696,1.1111816757936503,11.949811951927224,1.0,1.0
onenas_8isl,set2,42,2022,251,0.008620341523907307,0.6953357088958807,0.010517191551161277,0.011076894931084345,0.0006175347699660152,24.563862065574916,1.3063414603585661,13.072583105068924,1.0,1.0
onenas_8isl,set2,42,2023,250,0.02565549139644108,1.8744207537530773,0.02490264663427288,27.924743767915512,1.7731009654308598,7.815216151947886,1.1907202597999997,9.832986232084512,1.0,1.0
onenas_8isl,set2,42,2024,245,0.019293385085486735,1.7087864600779543,0.016101396328989517,13.609965738587029,1.0262970031630614,6.867171667181131,1.204972620816326,10.772084261412981,1.0,1.0
onenas_8isl,set2,42,2022-24,746,0.017834393991360914,2.47045170386622,0.01717200916690634,41.543543061391986,0.8796270444589367,24.563862065574916,1.234974461729223,33.67989693860806,1.0,1.0
onenas_8isl,set2,42,2020-24,1251,0.01648041807022404,2.601508155769658,0.012898179362057728,57.22512768343604,0.5155337210477492,37.23392307661036,1.1745196823741006,59.553532316564024,1.0,1.0
onenas_8isl,set2,43,2020,253,0.0009690637406857004,0.06803070124474116,-0.0023852755792421114,-12.661918636758712,-0.4486258766926832,37.58733183454134,1.207565316798419,15.912708636758738,1.0,1.0
onenas_8isl,set2,43,2021,252,0.018106271965545935,1.4099659287488888,0.015333974608452566,16.27350822743096,1.0906008494310313,9.824896580938304,1.1761596678571427,12.930831772569043,1.0,1.0
onenas_8isl,set2,43,2022,251,0.007092828357566718,0.5541354234558944,0.008443926246575263,-10.568381951569233,-0.6194967179119043,19.18574083928286,0.9744749007968124,9.797591951569236,1.0,1.0
onenas_8isl,set2,43,2023,250,0.022291604030721113,1.7545489345258936,0.020470817405362017,6.333539114934301,0.42153785191165416,9.33213730212356,0.9670679278000006,7.536130885065705,1.0,1.0
onenas_8isl,set2,43,2024,245,0.037463759240897905,3.5161759095602285,0.0353450638001831,31.051363200195247,2.761311004345562,3.9792214027009756,1.2424528448979586,10.950356799804757,1.0,1.0
onenas_8isl,set2,43,2022-24,746,0.022160619221782172,3.16598155108404,0.021309209745677956,26.802985861545515,0.6102689587872643,19.18574083928286,1.0612041914209123,28.29761413845447,1.0,1.0
onenas_8isl,set2,43,2020-24,1251,0.017058173941775025,2.996326170109993,0.015313634972068384,30.41440627532316,0.33443252382625444,37.58733183454134,1.1141320203437257,57.141323724676894,1.0,1.0
onenas_8isl,set2,44,2020,253,0.01803808599006412,1.1636529087363676,0.016587140775306,17.482126037522455,0.5667758968767532,37.83532338606353,1.1373055098814235,14.658393962477522,1.0,1.0
onenas_8isl,set2,44,2021,252,0.020674776744158692,1.4471654147569821,0.020662965458813794,9.572964551831847,0.5736849579765918,12.59277037184473,1.0873065523809513,11.840255448168154,1.0,1.0
onenas_8isl,set2,44,2022,251,0.014659768905025477,1.0705104264594805,0.0225072361034415,9.880113560458001,0.5515015235504998,20.410246202057067,0.960837663545817,9.334206439541985,1.0,1.0
onenas_8isl,set2,44,2023,250,0.015927874510219712,1.2175510252359547,0.01856749320999348,3.6957480892766776,0.22974982462760335,10.11636740455996,0.9438789520000006,7.2698519107233235,1.0,1.0
onenas_8isl,set2,44,2024,245,0.04212235168915184,3.555355226508631,0.037566946322500384,29.08374497004732,2.3712091037989884,4.176014032871707,1.0236139234693875,9.11763502995268,1.0,1.0
onenas_8isl,set2,44,2022-24,746,0.024103950116030184,3.2310430458250767,0.026132830312968876,42.650437549677136,0.9129193630336288,20.410246202057067,0.9764418617292224,25.730862450322817,1.0,1.0
onenas_8isl,set2,44,2020-24,1251,0.02218643187975437,3.6068533692036246,0.02310048387310014,69.71349034797552,0.7068731546016961,37.83532338606353,1.0312391659872098,52.22154965202435,1.0,1.0
onenas_8isl,set3,42,2020,253,0.009551511881500422,0.6552306637345905,0.004193297634303306,30.739241799915067,1.0662674734316064,23.26618955640464,0.8627262555335966,10.23233820008493,1.0,1.0
onenas_8isl,set3,42,2021,252,0.00859916252928183,0.702343861739743,0.010988511570995464,1.170545386800587,0.07466287722700368,14.515679235409928,0.5984162843253967,6.1095446131993985,1.0,1.0
onenas_8isl,set3,42,2022,251,0.00034611142058303115,0.031031359261869285,0.004159748557803771,-13.139217607890192,-0.8372185666600962,33.50691986658116,0.7389153233067728,6.664747607890201,1.0,1.0
onenas_8isl,set3,42,2023,250,0.012835979225187973,1.1193140111661033,0.01331153027207704,4.129529538369397,0.2945690371366971,12.086551346093927,0.7106253017999999,5.074830461630601,1.0,1.0
onenas_8isl,set3,42,2024,244,-0.005370492926725317,-0.4241650654851082,-0.005128067805872643,-12.322834107320416,-0.8360052088580816,14.902799878921478,0.7669977571721316,5.889414107320415,1.0,1.0
onenas_8isl,set3,42,2022-24,745,0.0026650583875736343,0.39260412763369196,0.004188900552208163,-21.314966977674985,-0.4793631290436371,33.50691986658116,0.7374267324832218,17.61143697767499,1.0,1.0
onenas_8isl,set3,42,2020-24,1250,0.00525519196971279,0.9420692017410445,0.00556059210301174,10.609581417617369,0.11410614689335746,32.232043693580955,0.7343755949199998,33.93855858238267,1.0,1.0
onenas_8isl,set3,43,2020,253,0.008202918073362308,0.5413529675461117,0.004138856562876055,22.92886827800036,0.7512130317205751,33.18079269929234,0.7005424150197631,8.263931721999635,1.0,1.0
onenas_8isl,set3,43,2021,252,0.0101586943054951,0.7190149935611424,0.012263306712160884,0.09560077039457168,0.005432120373370793,18.828225753416486,0.6702487369047617,6.7816992296054215,1.0,1.0
onenas_8isl,set3,43,2022,251,0.004394807057277606,0.3256716031329421,0.006371179556992479,9.803426836072763,0.5328631358900403,17.70864326247584,0.7806546300796807,7.026863163927237,1.0,1.0
onenas_8isl,set3,43,2023,250,0.004753742929350513,0.40037124280823,0.005874705711784033,-4.491230873274728,-0.3359452876121404,9.41124201283101,0.6775736635999999,4.772890873274728,1.0,1.0
onenas_8isl,set3,43,2024,244,0.008918651730853827,0.7508080481110356,0.005938640277065094,11.130286099334326,0.771240004454558,7.872839863304253,0.6825254635245901,5.273643900665674,1.0,1.0
onenas_8isl,set3,43,2022-24,745,0.005996890370527034,0.8352534774497962,0.006062913723966447,16.442997511296333,0.35305520460270085,17.70864326247584,0.7133921379194621,17.072882488703694,1.0,1.0
onenas_8isl,set3,43,2020-24,1250,0.0072824100508704645,1.217689290499799,0.006923483780981751,39.46448439780409,0.39939975379102177,33.18079269929234,0.702262907720001,32.121495602195914,1.0,1.0
onenas_8isl,set3,44,2020,253,0.011417208444418177,0.7410906462901677,0.00874894860859153,-0.04681961084134958,-0.0014672278512016877,40.14459463909323,1.0316544999999997,12.360699610841344,1.0,1.0
onenas_8isl,set3,44,2021,252,0.012534249124475955,0.8353303379453489,0.01274681974073233,-4.382769019381332,-0.22372844742261142,21.52173987022301,0.9708723988095241,9.922729019381332,1.0,1.0
onenas_8isl,set3,44,2022,251,0.0034984966226165835,0.21266113971833572,0.0025766200016149126,-12.381846175041241,-0.5499863969064752,24.348056472556635,0.9974332878486054,8.59542617504124,1.0,1.0
onenas_8isl,set3,44,2023,250,0.01061314022723409,0.8418971874670507,0.011865648457568607,-0.9349256826594057,-0.062314981281326634,11.191844441845298,0.9075802400000011,6.188795682659401,1.0,1.0
onenas_8isl,set3,44,2024,244,0.005258546211100279,0.421613319013241,0.0021775173232479275,-9.099016782839428,-0.6253209511035169,15.002153673115878,0.9431178635245908,6.9790167828394285,1.0,1.0
onenas_8isl,set3,44,2022-24,745,0.006462406690729872,0.8007049347738436,0.005563030821033542,-22.402584043335143,-0.42224132845788176,26.569760040034364,0.9489619505369119,21.750034043335106,1.0,1.0
onenas_8isl,set3,44,2020-24,1250,0.008689342000319575,1.341656490531006,0.007656112427446554,-26.83762110000153,-0.24881626958605985,40.14459463909323,0.9699701035599992,44.0389111000015,1.0,1.0
onenas_8isl,set4,42,2020,252,-0.005800119487746711,-0.4139094727497766,-0.009784351831741622,-11.617020598742924,-0.47536987128208874,27.63176891734683,1.0182924194444443,12.351350598742924,1.0,1.0
onenas_8isl,set4,42,2021,252,0.01904542489952857,1.4042992056768626,0.019923674057688065,0.863333445932132,0.059428265151782095,14.900220572869797,0.690325088888889,7.198076554067873,1.0,1.0
onenas_8isl,set4,42,2022,251,0.013578442970050418,1.0034793203358219,0.011534822788566797,-5.10682015787787,-0.31053871660349086,13.280266253186031,1.0876779396414338,9.474980157877873,1.0,1.0
onenas_8isl,set4,42,2023,250,0.036435537194983846,2.9253431632326636,0.03663518185639151,34.22068135485953,2.771810077200301,3.075180190927533,1.0399575682000013,7.623798645140466,1.0,1.0
onenas_8isl,set4,42,2024,246,0.018979043890853982,1.8281097372965465,0.029887941117390286,13.68336625683771,1.2866680315274237,11.701167081914019,0.7185929613821138,5.558123743162294,1.0,1.0
onenas_8isl,set4,42,2022-24,747,0.02300658404468367,3.2623848345947337,0.025979209503221086,42.8252340733303,1.067725924203554,13.280266253186031,0.9496289303882199,22.628895926669717,1.0,1.0
onenas_8isl,set4,42,2020-24,1251,0.016405863505313957,2.8469957994945347,0.017555218784847847,32.0872281971869,0.3919227567780549,27.63176891734683,0.9112343700239809,42.162641802813056,1.0,1.0
onenas_8isl,set4,43,2020,252,0.004798442445207631,0.31480992287621845,0.0024703701739934246,15.17134584368798,0.4965862214122559,26.09803515805248,0.7811886478174601,9.60451415631201,1.0,1.0
onenas_8isl,set4,43,2021,252,0.010600694643434824,0.7861141868711247,0.017073507154683715,-10.176662473854133,-0.7050762004827618,20.12174020430553,0.7294783914682538,7.53850247385414,1.0,1.0
onenas_8isl,set4,43,2022,251,0.015143093723091736,1.0525541929076763,0.01350927150904762,-24.90133166033635,-1.474521567200591,27.11393775887862,1.221708315737052,10.917381660336341,1.0,1.0
onenas_8isl,set4,43,2023,250,0.028641510985807764,2.3023543226437098,0.029652069010252045,15.473056532265142,1.2682838909631158,4.6152803810300185,1.3893133593999993,10.233713467734857,1.0,1.0
onenas_8isl,set4,43,2024,246,0.02192940811757037,1.7671376759189585,0.02706274789568671,-3.8370134712871,-0.3314260137753689,10.915834102214234,1.141917193495935,8.710863471287102,1.0,1.0
onenas_8isl,set4,43,2022-24,747,0.021895486837845108,2.892750926702773,0.023375208010271615,-13.269033049363522,-0.3212934482126827,27.11393775887862,1.251527445247657,29.865703049363525,1.0,1.0
onenas_8isl,set4,43,2020-24,1251,0.016176267957000938,2.651821155000127,0.01789475417306118,-8.258002451935265,-0.08950788912125338,38.696114349239444,1.0516334585131908,46.99237245193515,1.0,1.0
onenas_8isl,set4,44,2020,252,-0.0024308042757295724,-0.1512429988708176,-0.008967007214078719,-25.339511803552316,-0.9221033039520201,37.22170473985726,0.6915241918650794,8.279781803552325,1.0,1.0
onenas_8isl,set4,44,2021,252,0.01570392652921774,1.1779551735563654,0.01637231619719703,14.194186932616311,1.0040651614652982,9.063858660932869,0.46734587361111124,4.9953530673837045,1.0,1.0
onenas_8isl,set4,44,2022,251,0.0028712901156855166,0.2079545634760323,-0.004498781101675073,-6.529398757818461,-0.41147890729723113,17.68695050462844,0.5553014368525896,5.028098757818466,1.0,1.0
onenas_8isl,set4,44,2023,250,0.031577789539468354,2.6598054721032325,0.03246863007638721,24.78597912351847,2.1154948814563155,7.941363776960089,0.8098340776000001,5.506170876481517,1.0,1.0
onenas_8isl,set4,44,2024,246,0.02799412072968116,2.855283347142466,0.03249874112505523,16.63703004874894,1.6942436172693476,7.579105995334273,0.5754523642276425,4.335329951251023,1.0,1.0
onenas_8isl,set4,44,2022-24,747,0.020751934274974192,3.0006635188065585,0.020057100106211437,34.9136777691129,0.9153233310375807,17.68695050462844,0.6464593711512717,14.849532230887135,1.0,1.0
onenas_8isl,set4,44,2020-24,1251,0.015065165236838327,2.5557505984558335,0.013468258707502607,23.82252956576619,0.2810816282554978,37.22170473985726,0.61842847713829,28.07049043423382,1.0,1.0
onenas_8isl,set1,45,2020,253,0.01865784177287188,1.3894640559788292,0.017105970248988685,-1.3527682164783938,-0.05287627711637506,41.982589547098485,1.0366977379446636,12.780888216478354,1.0,1.0
onenas_8isl,set1,45,2021,252,0.017005111423483883,1.5279539663572195,0.01131971099702118,0.15815406593365797,0.010772025027933417,10.59976777369279,0.9780149418650795,9.776835934066336,1.0,1.0
onenas_8isl,set1,45,2022,251,-0.0022297340072500176,-0.19114776127796898,-0.010682953257649449,3.560154812547504,0.21826910272479286,18.56595000881355,0.9055519569721122,7.734155187452494,1.0,1.0
onenas_8isl,set1,45,2023,250,0.007991209654579777,0.6397860952292023,0.008553617101173468,7.307531521371359,0.521654051180279,8.167593094453743,0.8640131415999999,5.755098478628635,1.0,1.0
onenas_8isl,set1,45,2024,243,0.0287097306417983,2.4246243619942587,0.02437189655056856,26.50464576259341,1.8384389782009232,7.720034396290831,0.8627984858024688,6.5463242374065915,1.0,1.0
onenas_8isl,set1,45,2022-24,744,0.011309951241642713,1.6298879283303371,0.007230314340606875,37.38337626402533,0.8343822954122666,18.56595000881355,0.8772323612231182,20.024533735974657,1.0,1.0
onenas_8isl,set1,45,2020-24,1249,0.013947418551670709,2.568540161122545,0.010055829874823851,36.214494912235324,0.41382361729555445,41.982589547098485,0.9297999402722177,42.55652508776463,1.0,1.0
