panel,config_L,config_Q,config_G,ic_L,ic_Q,ic_G,resid_ic_Q,resid_se_Q,resid_t_Q,resid_ic_G,resid_se_G,resid_t_G
set1_core7,L ridge a=1000,Q quad-ridge a=0.01,"G gbt {'max_depth': 3, 'learning_rate': 0.05, 'max_iter': 200}",0.010990443872302498,0.008088755374963976,0.006600007252503546,-0.0010696277333113184,0.004563734093992957,-0.23437555985551883,0.0023086802445373387,0.00436936402322894,0.5283790117425909
set2_core7,L ridge a=1000,Q quad-ridge a=1000,"G gbt {'max_depth': 3, 'learning_rate': 0.05, 'max_iter': 200}",0.025787230631521295,0.020336630677708287,0.02189187280635625,-0.00828293383981057,0.00466108778097174,-1.7770388006045554,0.007873557155757984,0.004217489899210157,1.8668822792515822
set3_core7,L ridge a=0.01,Q quad-ridge a=1,"G gbt {'max_depth': 3, 'learning_rate': 0.05, 'max_iter': 200}",0.01740684827190017,0.014388508980698796,0.010969068072379986,0.0004611979695664636,0.004917280475410193,0.09379126772873192,0.0003581509009009589,0.004427818220202859,0.08088654120144759
set4_core7,L ridge a=1000,Q quad-ridge a=10,"G gbt {'max_depth': 2, 'learning_rate': 0.05, 'max_iter': 200}",0.024485784767367565,0.014562884819799043,0.015971983065302495,-0.010864760560743997,0.0041503625693649964,-2.6177858871752258,-0.0015828952575956824,0.004474025812806824,-0.3537966305569072
