arm,panel,seed,ens_ic,ens_net,ens_sh,gb_ic,gb_net,gb_sh
hp_C0,set1,42,0.01967075741667831,48.79456188721336,1.6470891494353699,0.016397262815812916,44.470957254616046,1.398050363757029
hp_C0,set1,43,0.01820650394366857,48.81299384140044,1.4846158802549225,0.017561080213306914,32.05660902785589,0.946337679305654
hp_C0,set1,44,0.016500605308336795,45.042726345681395,1.778966492482785,0.005960512815150619,36.42442669168701,1.1164952440015081
hp_C0,set2,42,0.021470384441372236,2.1494576898308506,0.10277252198452988,0.017196974835565804,4.911096019168305,0.23740496083971732
hp_C0,set2,43,0.014542614298702707,3.2965870798986234,0.1663180236221079,0.01141861292825563,-5.778401476755663,-0.2700386404605812
hp_C0,set2,44,0.012791000651639628,-8.659661040600167,-0.34707654586269304,0.009927794667816358,4.093893807187629,0.1528104578736694
hp_W1_S1_icgated,set1,42,0.0004878854434086307,13.830639449721504,0.3904851480496485,0.014819375238935653,21.090719897680042,0.6428332537495797
hp_W1_S1_icgated,set1,43,0.01880314541434133,38.5718861029321,1.1126834287719587,0.017670621302744542,16.83943266972773,0.5324354214548425
hp_W1_S1_icgated,set1,44,0.016310683063104556,25.956189807201696,0.7001656237101559,0.015812063815137195,17.319036455829348,0.5264079321000338
hp_W1_S1_icgated,set2,42,0.017543277451691906,-10.846825665048902,-0.4317911638867019,0.01702617105361644,-5.116883333814503,-0.22560000003557223
hp_W1_S1_icgated,set2,43,0.020824418921920624,-3.4518863352583833,-0.16640728834174665,0.008291784135206384,14.44705638237735,0.567440238999857
hp_W1_S1_icgated,set2,44,0.018062744830094696,-1.523002933285019,-0.05444145242045975,0.017402739655080515,-5.283477160416798,-0.2238032365580782
hp_W1_S2_ic,set1,42,0.013580001025974597,2.789780522112399,0.09296967640858494,-0.0103400699363597,3.413513860709344,0.11712747240009515
hp_W1_S2_ic,set1,43,0.011306933358019229,14.04294555061144,0.411199978895166,0.01531867943945131,-3.6246710219696068,-0.12812850405900966
hp_W1_S2_ic,set1,44,0.013295923231437409,10.173740019284537,0.34806542109509064,0.030755609676856557,19.018961349850926,0.6492258903884354
hp_W1_S2_ic,set2,42,0.01479888458045588,-14.15435654602201,-0.6247976179576399,0.007248511504548034,-14.278497090742695,-0.46085276959668997
hp_W1_S2_ic,set2,43,0.01584668183827683,-12.037050342372897,-0.4405763061566268,-0.05342469819802842,-14.791129637997278,-0.4899507581243579
hp_W1_S2_ic,set2,44,0.020607190015432528,-9.466254369391331,-0.3526125154921355,0.002217678149876803,-15.278651206662671,-0.5219295102098471
hp_W1_T1_cs5,set1,42,0.019110818198347188,43.23235045919108,1.4186600283907955,0.018092538841419616,50.09669146925347,1.5448373552451875
hp_W1_T1_cs5,set1,43,0.022386211581142915,64.95879526859429,2.075032612333193,0.021549870424841393,65.96856687323317,2.0192394911108953
hp_W1_T1_cs5,set1,44,0.020361872079316563,38.782383390705796,1.164817612759548,0.022786484899833183,47.26489754661292,1.4322817786232136
hp_W1_T1_cs5,set2,42,0.011795183682285925,20.61604388251163,0.7056582389888026,0.007020067835601592,14.222249755510525,0.4805258807457055
hp_W1_T1_cs5,set2,43,0.007845124418263178,10.857190730433723,0.36861645779767593,-0.0029286550782484534,-6.003844294223314,-0.21208072378951828
hp_W1_T1_cs5,set2,44,0.008394024959268876,9.610991296604748,0.29514827701473384,-0.0030566508631016415,-10.710309186739911,-0.35836841563662103
hp_W1_TS_cs5_icg,set1,42,0.01523949618037956,40.31399267030272,1.0662039043304596,0.01292467434358348,43.2678380381769,1.3656538296497356
hp_W1_TS_cs5_icg,set1,43,0.011579257870745737,31.445585886614925,0.8786702211070041,0.019787981008354404,50.3427317633293,1.4921990415260884
hp_W1_TS_cs5_icg,set1,44,0.009853052634197019,21.24696898306187,0.5838110782755871,0.015338093637003674,45.18719182153434,1.4141379696868714
hp_W1_TS_cs5_icg,set2,42,0.004151136202142829,19.503729040026872,0.5775575829230242,-0.01049009926311296,3.3511633246026005,0.11176965282226052
hp_W1_TS_cs5_icg,set2,43,0.008746550764102133,29.391123884369392,0.8801315274871682,0.001867644160265253,1.8987037341223862,0.05865216404501859
hp_W1_TS_cs5_icg,set2,44,0.0036130809779245316,19.181536859217008,0.6032124077896717,-6.01566551450623e-05,6.405381791039688,0.2189257587926436
hp_W2_F1_repop25,set1,42,0.017726773474452676,30.843603212016173,0.9694239133186924,0.017410883724687992,32.763300932919,0.9813266777092092
hp_W2_F1_repop25,set1,43,0.01801965056470144,59.28963225488387,1.8075175997124828,0.0026323373706672636,22.378523927108567,0.7640499475103699
hp_W2_F1_repop25,set1,44,0.01818686541454491,27.139373014822688,0.8191213893500106,0.008846590589722493,22.29642110805813,0.6743529516407841
hp_W2_F1_repop25,set2,42,0.022426072548766097,9.402629538214091,0.376520204181316,0.0028789769456629404,-7.351732746704838,-0.3321537856376829
hp_W2_F1_repop25,set2,43,0.001951810258827622,-8.59529300521419,-0.30215909226369486,0.011012601304773526,0.999662695305749,0.03877206575391056
hp_W2_F1_repop25,set2,44,0.012167113360183252,0.7502811751863112,0.027693301942151374,0.002228613850926312,5.558926487525959,0.22726880648129028
hp_W2_F2_repop100,set1,42,0.019476390298497438,52.429230935131244,1.5985571625033732,0.012482033247560979,33.265191753471264,1.0707308689890476
hp_W2_F2_repop100,set1,43,0.013760524519006065,45.42782346024911,1.5518035826749974,0.022250560109576083,47.78424120742732,1.7504616381936189
hp_W2_F2_repop100,set1,44,0.01403188709341246,50.76587843889321,1.6690190567600565,0.010727154234214801,38.92003346489904,1.279736886704071
hp_W2_F2_repop100,set2,42,0.018256969318834415,8.949457809608703,0.33769311965391735,0.001969070768985822,-10.614265879091482,-0.47110612078592495
hp_W2_F2_repop100,set2,43,0.01578883365568321,13.997532066754653,0.5166334221787307,0.015779567102559594,4.6022308687957985,0.17829104658373987
hp_W2_F2_repop100,set2,44,0.018058668665562678,15.21057747695831,0.6547185854134332,0.007180397170952335,15.019509882407982,0.580433234708545
hp_W2_G1_rounds2,set1,42,0.017210759486874627,54.7765251708244,1.7229377041538991,0.013969421920148524,27.951338844692224,0.9869349945584801
hp_W2_G1_rounds2,set1,43,0.015701631200123797,24.80166511795509,0.7487177377593891,0.013943453712423306,44.04247955822828,1.3792387509320891
hp_W2_G1_rounds2,set1,44,0.020649878748184438,54.74819461439226,1.7654376713212585,0.014221706308567554,41.01828400206862,1.3768645994381625
hp_W2_G1_rounds2,set2,42,0.009603699178869317,12.356983311294853,0.4670187639507234,0.018317569931759863,6.373432710238775,0.24695894809134702
hp_W2_G1_rounds2,set2,43,0.011110582680225413,25.216374501525106,0.9686287726238278,-0.00265420177282481,1.4956193100788284,0.06173344954817306
hp_W2_G1_rounds2,set2,44,0.016728484177869953,8.42455274064526,0.3924239294759541,0.009927208622954297,-6.40614541640178,-0.3110008675603447
hp_W2_N1_nts600,set1,42,0.01628407571278494,33.73148011459673,1.2429264414157601,0.004160104236723026,24.87902273391342,0.968286970058513
hp_W2_N1_nts600,set1,43,0.02372377260819819,50.289249308603466,1.745657548448379,0.0157833965155089,42.94686357458558,1.6273219089483182
hp_W2_N1_nts600,set1,44,0.00976511884091081,26.643170432898867,0.8683197949892227,0.012904839995592686,22.02473420419052,0.7162757885640217
